SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
3001910,6.4,7.75,,,,4.75,7.75,9,4.8,,7.17,,,20.25,18.95,
3001913,3.6,7.5,,,,3,7.75,8.75,4.2,,6.5,,,18.25,15.3,
3001937,4.4,6,,,,4.5,6,8,4.8,,6.17,,,16.5,15.2,
3001918,6.4,8.5,,,,6.5,9.25,9.25,5.6,,8.33,,,24.25,20.5,
3001920,5.4,7,,,,5.5,6.25,9.5,5.4,,7.08,,,18.75,17.8,
3001915,4.2,6.75,,,,4.25,4.75,8,3.8,,5.67,,,15.75,14.75,
3001922,4.2,6.5,,,,3,5.75,7.5,3.8,,5.42,,,15.25,14.5,
3001924,5.8,5.75,,,,4,6,7.75,2.8,,5.92,,,15.75,14.35,
3001926,4.6,6.5,,,,4.5,6,7.5,2,,6,,,17,13.1,
3001928,1.8,4,,,,4,6.25,8.5,2.8,,6.25,,,14.25,8.6,
3001930,2.8,4.75,,,,3.5,7,8.75,3.2,,6.42,,,15.25,10.75,
3001932,4.4,5.25,,,,3.5,6.75,8,2.6,,6.08,,,15.5,12.25,
3001934,3.4,4.25,,,,4.25,5,8.75,3.8,,6,,,13.5,11.45,
3001953,5.2,6.5,,,,2.25,5.5,7.75,4.6,,5.17,,,14.25,16.3,
3002178,4.8,7.5,,,,8,8.5,6.25,5.4,,7.58,,,24,17.7,
3002181,3.4,5,,,,3,4.75,7.75,2.8,,5.17,,,12.75,11.2,
3002184,4.8,6.25,,,,3.75,5.5,7.75,1.6,,5.67,,,15.5,12.65,
3002683,6.4,4.25,5,5,4,,,,2.6,4.67,,16.4,15.4,,13.25,14
3002692,6.4,3.5,5.75,3.5,4.25,,,,4.8,4.5,,15.65,14.15,,14.7,16.95
3002699,5.8,4.75,6,4.5,4.75,,,,2.4,5.08,,16.3,15.05,,12.95,14.2
3002701,6.6,6.5,5.75,4.25,4.5,,,,2.8,4.83,,16.6,15.35,,15.9,15.15
3002705,6.8,6,5.5,4.5,3,,,,2.8,4.33,,16.8,14.3,,15.6,15.1
3002707,6.8,5.75,6,5.25,3.75,,,,4.2,5,,18.05,15.8,,16.75,17
3002712,6.8,7.25,4.75,3.75,4.75,,,,6.2,4.42,,15.3,15.3,,20.25,17.75
3002714,6.2,7,8,7.5,5.25,,,,6,6.92,,21.7,18.95,,19.2,20.2
3002720,6,5.5,6.5,5.25,4.75,,,,4,5.5,,17.75,16,,15.5,16.5
3002722,6.8,5.75,5.25,7.25,5.5,,,,5.2,6,,19.3,19.55,,17.75,17.25
3002726,6.2,5.5,5,3.25,5.25,,,,6.4,4.5,,14.45,14.7,,18.1,17.6
3002731,4.8,5,4.25,4.5,3.5,,,,1.6,4.08,,13.55,12.8,,11.4,10.65
3002732,6.6,4.75,4.75,6.5,3.25,,,,5.8,4.83,,17.85,16.35,,17.15,17.15
3002745,7.2,5,8.25,7,4.75,,,,4.2,6.67,,22.45,18.95,,16.4,19.65
3002752,5.2,7.75,4.75,5,4.75,,,,5.8,4.83,,14.95,14.95,,18.75,15.75
3002730,5.2,6,5.5,5.5,5.5,,,,3,5.5,,16.2,16.2,,14.2,13.7
3002736,6.2,6,5.5,5.25,4.25,,,,3.8,5,,16.95,15.7,,16,15.5
3002569,6.8,7.5,6.25,7.5,6.25,,,,3.6,6.67,,20.55,20.55,,17.9,16.65
3002571,5.6,7,5.75,6.25,5,,,,4.8,5.67,,17.6,16.85,,17.4,16.15
3002567,6.8,6,7.75,8.5,5.75,,,,4.6,7.33,,23.05,21.05,,17.4,19.15
3002575,6.8,7,6.25,4.25,5,,,,7,5.17,,17.3,16.05,,20.8,20.05
3002580,6,5.5,6,3.5,4,,,,2.4,4.5,,15.5,13.5,,13.9,14.4
3002582,8,5.25,8,8,3.5,,,,2,6.5,,24,19.5,,15.25,18
3001586,6.4,6,,,,5.25,8.25,8.5,7.2,,7.33,,,19.5,19.6,
3001588,6.2,7.25,,,,3.75,6,8,7.6,,5.92,,,17,21.05,
3001592,6,6,,,,5,7.75,8,3.4,,6.92,,,18.75,15.4,
3001594,4.2,4.75,,,,3.75,3.5,7.75,3.2,,5,,,12,12.15,
3001598,4.8,6.5,,,,3.25,6,7,4.2,,5.42,,,15.75,15.5,
