SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
58000318,2.6,4.5,,,,3.75,4.75,8,3.6,,5.5,,,13,10.7,
58000321,5.2,5.75,5.75,3,3.75,,,,4.8,4.17,,13.95,11.95,,15.75,15.75
58000324,2.6,5,,,,3,4.25,7.25,2.6,,4.83,,,12.25,10.2,
58000326,2.6,4.5,,,,4.25,5,7.75,2.2,,5.67,,,13.75,9.3,
58000333,3.4,5.5,,,,3.5,6,6.75,3,,5.42,,,15,11.9,
58000342,3,5,,,,3.75,4.75,8.25,3,,5.58,,,13.5,11,
58000345,3.6,6.75,,,,4.5,5.75,7.75,3.8,,6,,,17,14.15,
58000350,3,4.75,,,,2.5,4,7,3,,4.5,,,11.25,10.75,
58000352,5,5,,,,4.25,5.5,7,2.6,,5.58,,,14.75,12.6,
58000355,5.4,6.75,,,,4.25,5.5,7.75,4.4,,5.83,,,16.5,16.55,
58000361,2.8,4.5,,,,4.5,5.5,5.25,2.2,,5.08,,,14.5,9.5,
58000080,3.2,5,,,,3.5,4.25,6.75,2.4,,4.83,,,12.75,10.6,
58000083,3.4,6.25,,,,3,5.25,7.75,2.4,,5.33,,,14.5,12.05,
58000072,4.2,3.75,,,,5.25,4.75,8.5,2.6,,6.17,,,13.75,10.55,
58000075,3.6,3.25,,,,3.5,5.25,7.75,3.8,,5.5,,,12,10.65,
58000085,2.6,4,,,,3.25,5,6.5,2.2,,4.92,,,12.25,8.8,
58000091,4.6,7.75,,,,4.75,6.75,8.75,5,,6.75,,,19.25,17.35,
58000249,6,7,,,,6.75,7,9,5,,7.58,,,20.75,18,
58000266,4.8,6,4.5,5.5,4.5,,,,3.8,4.83,,14.8,14.8,,14.6,13.1
58000172,5.4,5,5.25,4.25,4.75,,,,3.8,4.75,,14.9,14.4,,14.2,14.45
58000157,6.4,3.75,5.75,2.75,2.5,,,,5.6,3.67,,14.9,11.65,,15.75,17.75
58000161,4,5.75,2.25,3.25,4,,,,2.4,3.17,,9.5,11.25,,12.15,8.65
58000165,5.4,3.5,3.5,4.5,5,,,,6,4.33,,13.4,14.9,,14.9,14.9
58000203,4.8,4.5,3,5.25,4.75,,,,4,4.33,,13.05,14.8,,13.3,11.8
58000205,5.6,5.75,3,4.75,5,,,,3.2,4.25,,13.35,15.35,,14.55,11.8
58000207,6.2,5.5,6,3.5,6.75,,,,5.4,5.42,,15.7,16.45,,17.1,17.6
58000224,4,5,4.5,4.25,6,,,,2.4,4.92,,12.75,14.25,,11.4,10.9
58000228,4,5.75,4.5,4,4.5,,,,5.4,4.33,,12.5,12.5,,15.15,13.9
58000196,5.6,4.5,5.25,6,3.5,,,,3.8,4.92,,16.85,15.1,,13.9,14.65
58000213,6.2,6.25,4,4.25,2.75,,,,3.6,3.67,,14.45,13.2,,16.05,13.8
58000237,4.8,3.25,3.25,3,3.75,,,,2.2,3.33,,11.05,11.55,,10.25,10.25
58000248,4.4,3.5,3.5,4.5,3,,,,2.6,3.67,,12.4,11.9,,10.5,10.5
58000601,4.4,5.5,,,,4,5.25,8,2.8,,5.75,,,14.75,12.7,
58000603,4.6,7,4.75,3.75,6,,,,3.2,4.83,,13.1,14.35,,14.8,12.55
58001297,3.4,3.25,,,,2.25,5.5,7.75,3.4,,5.17,,,11,10.05,
58001837,5.2,6.75,,,,4,6.25,7.75,6.4,,6,,,17,18.35,
58001840,3.6,3.75,3.25,4,3,,,,5.4,3.42,,10.85,10.6,,12.75,12.25
58001843,3,5.25,3,4,4.25,,,,2.8,3.75,,10,11.25,,11.05,8.8
58001850,4,5.25,,,,4,4.75,8.5,2,,5.75,,,14,11.25,
58001857,4.8,8,,,,5.5,8.75,8.75,4.6,,7.67,,,22.25,17.4,
58001860,6.2,6.5,5.75,5.25,4.5,,,,4.4,5.17,,17.2,15.95,,17.1,16.35
58001875,5.2,6,4.5,4.25,4.5,,,,3.2,4.42,,13.95,13.95,,14.4,12.9
58001878,3,5.25,2.5,2.5,4.25,,,,3.2,3.08,,8,9.75,,11.45,8.7
58001896,5.6,7,,,,4.25,5,7.5,6.2,,5.58,,,16.25,18.8,
58001897,5.8,6.5,3.5,2.25,4.5,,,,4.6,3.42,,11.55,12.55,,16.9,13.9
58001904,3.6,5.25,4.75,2,3.25,,,,2.2,3.33,,10.35,8.85,,11.05,10.55
58001910,5.2,7,4.25,4,3.75,,,,3.6,4,,13.45,12.95,,15.8,13.05
58001917,2.8,3.75,2.75,3.5,3.25,,,,2.8,3.17,,9.05,9.55,,9.35,8.35
58001920,4.6,6,5.5,4.5,4,,,,4,4.67,,14.6,13.1,,14.6,14.1
58001923,3.4,4,3.75,3.5,4,,,,4,3.75,,10.65,10.9,,11.4,11.15
58001925,4.6,3.5,,,,4.25,8.5,8,7,,6.92,,,16.25,15.1,
58001027,4.8,4.5,,,,2.5,6,7.5,3,,5.33,,,13,12.3,
58001037,3.2,3,,,,3.25,6.5,7.5,3,,5.75,,,12.75,9.2,
58001045,6.2,8,,,,4.75,8.5,8.75,4.6,,7.33,,,21.25,18.8,
58001048,5.4,5.5,,,,4.75,6.5,8.5,3.6,,6.58,,,16.75,14.5,
58001051,5.2,8.25,5.25,6.5,4.75,,,,2.2,5.5,,16.95,16.45,,15.65,12.65
58001054,4,6.25,,,,3.5,5.25,7.5,4,,5.42,,,15,14.25,
58001066,4.8,4.75,,,,4.25,3.75,5.25,2.4,,4.42,,,12.75,11.95,
58001085,3.6,5.75,,,,4,6,8.5,2.6,,6.17,,,15.75,11.95,
58001091,6.8,5.75,5.75,5,5.75,,,,6.6,5.5,,17.55,17.55,,19.15,19.15
58001092,3.4,5.5,,,,3.75,6.5,7.75,2.8,,6,,,15.75,11.7,
58001109,3.8,5.5,,,,4.25,6.25,8.25,3.8,,6.25,,,16,13.1,
58001110,3.6,4.91,,,,4,6.5,8,3,,6.17,,,15.41,11.51,
58001114,3.4,4,,,,2.25,6.25,7.5,3,,5.33,,,12.5,10.4,
58001121,5.6,6.25,4,3.5,5.5,,,,3.4,4.33,,13.1,14.6,,15.25,13
58001124,3.2,5,,,,3,5.5,7.25,2.2,,5.25,,,13.5,10.4,
