SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
59005679,3.8,6.5,,,,7.5,6.75,8.75,4.8,,7.67,,,20.75,15.1,
59005685,5,4.25,,,,4,4.75,8,2.4,,5.58,,,13,11.65,
59005690,4.8,6.5,,,,5,6,8,5,,6.33,,,17.5,16.3,
59005706,3,5,,,,1.25,5.25,7.5,2.4,,4.67,,,11.5,10.4,
59005708,2.8,4.5,,,,4.25,6.25,6.75,2.4,,5.75,,,15,9.7,
59005711,2.2,3.75,,,,5,5.5,6.75,3,,5.75,,,14.25,8.95,
59005718,1.6,5,,,,2.75,3.25,7,3.4,,4.33,,,11,10,
59005719,4,4.25,4.75,6,5,,,,2.8,5.25,,14.75,15,,11.05,11.55
59005720,4.8,7.5,,,,5.75,5.5,9,4.2,,6.75,,,18.75,16.5,
59005721,4,3.75,,,,2.25,5.25,7,3.6,,4.83,,,11.25,11.35,
59005733,3.6,4.75,,,,2.25,2.5,7,3,,3.92,,,9.5,11.35,
59005738,5,6.5,4.75,3,4.25,,,,4.2,4,,12.75,12.25,,15.7,13.95
59005742,2.6,5.5,,,,3,5.25,7.25,2.2,,5.17,,,13.75,10.3,
59005392,5.6,6.75,,,,3.75,4.5,6.5,4,,4.92,,,15,16.35,
59005395,3.4,5.75,,,,4.5,5.5,8.25,3.4,,6.08,,,15.75,12.55,
59005396,5.2,6.75,5,5.5,5.25,,,,4.2,5.25,,15.7,15.95,,16.15,14.4
59005397,3.8,4.5,,,,2.75,5,8.25,2.4,,5.33,,,12.25,10.7,
59005589,1.6,3.25,,,,3.5,4.5,5.25,3.4,,4.42,,,11.25,8.25,
59005591,4.4,5,,,,4.5,4.75,8.25,3.6,,5.83,,,14.25,13,
59005599,2.8,3.75,,,,4,4.25,5.75,2,,4.67,,,12,8.55,
59005603,4.4,5,,,,4.75,6,8,3.2,,6.25,,,15.75,12.6,
59005607,3.6,5.75,3.25,3.25,6,,,,3.2,4.17,,10.1,12.85,,12.55,10.05
59005611,3,6,,,,2.75,5,6,2,,4.58,,,13.75,11,
59005619,2.8,4.25,,,,4,5.5,8,2.2,,5.83,,,13.75,9.25,
59005629,4.2,6.5,,,,3.25,6.25,8,3,,5.83,,,16,13.7,
59005633,5.6,5.75,,,,4,6,7,2.4,,5.67,,,15.75,13.75,
59005865,5.8,6,,,,5.75,5,7.5,3.8,,6.08,,,16.75,15.6,
59005869,4,6,3.75,3.5,3.25,,,,2.8,3.5,,11.25,10.75,,12.8,10.55
59005885,4,5.5,,,,3.75,6,8.5,3.6,,6.08,,,15.25,13.1,
59005890,4.8,6,,,,5,7.25,8.75,6.4,,7,,,18.25,17.2,
59005892,4.2,6.5,,,,4.25,5.75,8,2.8,,6,,,16.5,13.5,
59005898,2.8,5.5,,,,3,6.5,7.5,4.6,,5.67,,,15,12.9,
59005903,3.4,4.25,,,,2.75,3,6.75,3,,4.17,,,10,10.65,
59005913,5.8,5.5,,,,3.75,5.75,8,5,,5.83,,,15,16.3,
59004719,5.8,7,6,6.25,6.25,,,,3.6,6.17,,18.05,18.3,,16.4,15.4
59004721,3.4,3.75,,,,2.75,4.5,4,2.2,,3.75,,,11,9.35,
59004748,5.6,4,5.75,4.25,3.75,,,,4.4,4.58,,15.6,13.6,,14,15.75
59004761,3.2,3.25,,,,3.5,5.25,7.25,2.6,,5.33,,,12,9.05,
59004764,5.4,7.25,4,3.25,5,,,,3,4.08,,12.65,13.65,,15.65,12.4
59004600,5.2,5,,,,2.5,4.75,7,3.4,,4.75,,,12.25,13.6,
59004639,3.2,5.5,,,,1.5,5,5,3.4,,3.83,,,12,12.1,
59004614,3.8,4.75,,,,3.25,2.5,2.5,2.8,,2.75,,,10.5,11.35,
59004625,3.2,3.25,,,,2.75,5.25,6.75,2.4,,4.92,,,11.25,8.85,
59004645,3.4,4.75,,,,3.75,5.25,6.5,4.2,,5.17,,,13.75,12.35,
59004646,1.8,2.5,,,,3,1.25,4,2.8,,2.75,,,6.75,7.1,
59004672,6,5.5,,,,3.75,6,7.5,4.2,,5.75,,,15.25,15.7,
59004677,6,7.75,,,,6.25,6.75,9,5.2,,7.33,,,20.75,18.95,
59004688,5.6,7,2.5,3.5,4.25,,,,2.6,3.42,,11.6,13.35,,15.2,10.7
59004696,5.8,6,6.5,5.5,2.75,,,,3.8,4.92,,17.8,14.05,,15.6,16.1
59004653,5.2,7.5,4.75,5.5,3.25,,,,5.2,4.5,,15.45,13.95,,17.9,15.15
59004674,5,6.75,4.5,5.5,4.5,,,,4.8,4.83,,15,15,,16.55,14.3
59006089,4.2,3.75,4,3.75,4.5,,,,4,4.08,,11.95,12.45,,11.95,12.2
59006091,2.8,3,,,,2.75,4.5,3.5,3.6,,3.58,,,10.25,9.4,
59006108,3,5.75,,,,3.25,4.5,5.5,2.6,,4.42,,,13.5,11.35,
59006118,4.2,5.5,5,5.75,4.25,,,,5.2,5,,14.95,14.2,,14.9,14.4
59006187,3.8,6.25,,,,4.25,5.25,7.25,3.4,,5.58,,,15.75,13.45,
59006200,2.8,3.25,,,,2.5,3.5,3.75,3.4,,3.25,,,9.25,9.45,
59006202,3.2,4.5,,,,3.25,3.75,6.25,3.8,,4.42,,,11.5,11.5,
59006205,5.4,4.25,,,,1.5,4.75,7.25,2.8,,4.5,,,10.5,12.45,
59006208,3.2,5.5,,,,4,5,6,1.8,,5,,,14.5,10.5,
59006223,6.4,6,4.75,4.75,4.75,,,,1.8,4.75,,15.9,15.9,,14.2,12.95
59006226,3,2.5,,,,2.5,4.75,6.25,2.8,,4.5,,,9.75,8.3,
59006238,4.4,5.75,,,,2.75,5,5.75,3,,4.5,,,13.5,13.15,
59006240,2.6,3.5,,,,2.25,1.5,5,3.8,,2.92,,,7.25,9.9,
59006247,6,3.5,4.75,4.5,3.75,,,,3,4.33,,15.25,14.25,,12.5,13.75
59006250,4.2,4,,,,3.5,6,6.25,3,,5.25,,,13.5,11.2,
59006266,4.8,4,3,3.75,5.25,,,,4,4,,11.55,13.8,,12.8,11.8
59006271,3.8,5.5,,,,4.25,6,7.5,3.8,,5.92,,,15.75,13.1,
59000761,5,5.25,5.25,4.25,4.5,,,,6.6,4.67,,14.5,13.75,,16.85,16.85
59000765,3.8,4,,,,4.75,5.5,7,2.6,,5.75,,,14.25,10.4,
59000769,5.8,7,,,,3.5,5.75,8,6.2,,5.75,,,16.25,19,
59000771,5.8,7.25,,,,3,4.75,8.25,5.4,,5.33,,,15,18.45,
59000778,5.8,4,5.25,5,6.25,,,,2.2,5.5,,16.05,17.05,,12,13.25
59000806,5.8,6.75,3.25,5.5,6.25,,,,5,5,,14.55,17.55,,17.55,14.05
59000812,4.4,5.75,,,,4.5,5.5,8.25,3.2,,6.08,,,15.75,13.35,
59000831,4.2,6.25,,,,4.25,4.25,7.25,5,,5.25,,,14.75,15.45,
59000838,4.2,5,,,,4.25,5,6.25,3.2,,5.17,,,14.25,12.4,
59000841,5.4,6,5.5,4.25,5,,,,4,4.92,,15.15,14.65,,15.4,14.9
59000846,6,4.75,5.5,3.25,5,,,,4.4,4.58,,14.75,14.25,,15.15,15.9
59000848,4.2,6.5,,,,3.75,7,8,3.4,,6.25,,,17.25,14.1,
59000850,4.8,6,3.5,4.25,4.75,,,,3.6,4.17,,12.55,13.8,,14.4,11.9
59000002,5.8,6.5,,,,2,6,7,4,,5,,,14.5,16.3,
59000009,3.8,4.75,4.5,5.25,5,,,,2.8,4.92,,13.55,14.05,,11.35,11.1
59000017,5.6,4.5,4.75,4.5,4,,,,3.8,4.42,,14.85,14.1,,13.9,14.15
59000022,4.2,4.5,4.25,3.75,4.5,,,,5.2,4.17,,12.2,12.45,,13.9,13.65
59000587,5.6,6.25,7,4.25,3.25,,,,5.2,4.83,,16.85,13.1,,17.05,17.8
59000590,5.4,6.25,4.5,4.75,5.5,,,,3.8,4.92,,14.65,15.65,,15.45,13.7
59000594,5.4,6.5,4.5,4,3.25,,,,3.2,3.92,,13.9,12.65,,15.1,13.1
59000597,6.2,5,6,2.75,5.25,,,,4.6,4.67,,14.95,14.2,,15.8,16.8
59000600,4.6,3.25,,,,2.75,2.75,7.25,3.6,,4.25,,,8.75,11.45,
59000615,7,4.75,6.25,6,7.5,,,,6.6,6.58,,19.25,20.5,,18.35,19.85
59000622,7,6.5,,,,3.5,6.75,8,5.8,,6.08,,,16.75,19.3,
59000629,6.6,7.75,4.75,5.75,5.5,,,,5.8,5.33,,17.1,17.85,,20.15,17.15
59000633,5.2,6.75,3,5.5,6.75,,,,4.6,5.08,,13.7,17.45,,16.55,12.8
59000635,6.2,5.5,4.75,2.5,4.75,,,,4.2,4,,13.45,13.45,,15.9,15.15
59000638,4.4,8,,,,5.75,7.25,9.5,4.2,,7.5,,,21,16.6,
59000642,5.4,4.25,5.75,4.5,4.25,,,,6.6,4.83,,15.65,14.15,,16.25,17.75
59000646,7,6.25,6.75,5.25,2.5,,,,4.6,4.83,,19,14.75,,17.85,18.35
59000649,5.6,6.25,,,,3.75,5.5,6.75,6,,5.33,,,15.5,17.85,
59000654,6.4,6.75,4,4,5.25,,,,7.8,4.42,,14.4,15.65,,20.95,18.2
59000660,3.4,4.25,,,,3.75,5.75,8,2.8,,5.83,,,13.75,10.45,
59000663,6,4.75,4.5,3.25,4.5,,,,4,4.08,,13.75,13.75,,14.75,14.5
59000440,4.6,6.75,,,,2.5,6.25,7.25,5.2,,5.33,,,15.5,16.55,
59000468,3.2,6.25,,,,3,5.25,7,4,,5.08,,,14.5,13.45,
59000459,3.4,6.5,,,,3,3.75,7.5,4,,4.75,,,13.25,13.9,
59000408,5.6,6.75,,,,4,6.25,8.25,3.8,,6.17,,,17,16.15,
59000429,4,5.75,,,,5.5,7.5,9,3.8,,7.33,,,18.75,13.55,
59000436,4,6.25,,,,4,6,6.75,2.2,,5.58,,,16.25,12.45,
59000507,5.6,7.5,,,,8.75,8.5,7.75,4.6,,8.33,,,24.75,17.7,
59000532,6.2,6,,,,3.5,5,7.5,6.4,,5.33,,,14.5,18.6,
59001269,6,6.75,6.5,5.5,5.75,,,,3.8,5.92,,18,17.25,,16.55,16.3
59001273,5,2.5,4.75,6,4.5,,,,3.2,5.08,,15.75,15.5,,10.7,12.95
59001276,6.8,6,4,6.75,6.75,,,,5.8,5.83,,17.55,20.3,,18.6,16.6
59001279,7.2,6.5,6.25,7.5,7.75,,,,6.6,7.17,,20.95,22.45,,20.3,20.05
59001282,5.4,7.5,3.75,5.75,5.75,,,,6.2,5.08,,14.9,16.9,,19.1,15.35
59001284,6.6,6.25,5.25,6.5,5.25,,,,5.8,5.67,,18.35,18.35,,18.65,17.65
59001287,6.6,7,6,4.25,4.25,,,,7.6,4.83,,16.85,15.1,,21.2,20.2
59001289,7.6,5.75,6.75,6.75,6.5,,,,4.4,6.67,,21.1,20.85,,17.75,18.75
59001291,5,5.75,3.25,5,5,,,,6,4.42,,13.25,15,,16.75,14.25
59002470,4.2,6.5,,,,4.5,5.5,7.75,2.4,,5.92,,,16.5,13.1,
59002477,2,3,,,,2.75,3.75,4.75,3.6,,3.75,,,9.5,8.6,
59002473,4,5.75,,,,2.25,3.75,6.25,2.8,,4.08,,,11.75,12.55,
59002475,5.2,4.25,,,,5.25,5.25,6.75,3.2,,5.75,,,14.75,12.65,
59002479,2.6,4.75,,,,3.75,5.75,7.25,3.6,,5.58,,,14.25,10.95,
59002454,5.6,7,,,,4.5,6.25,8.25,3.4,,6.33,,,17.75,16,
59002481,4.4,8.25,,,,6.5,8.25,8.25,2.2,,7.67,,,23,14.85,
59002486,3.8,6,,,,2.25,5.5,7.75,3.2,,5.17,,,13.75,13,
59002487,4.4,6.5,,,,3.75,4.25,7.25,1.6,,5.08,,,14.5,12.5,
59002489,5,5.5,,,,2.75,6.25,8,4.2,,5.67,,,14.5,14.7,
59002494,3.2,4.25,,,,3.5,6,7,2.4,,5.5,,,13.75,9.85,
59002894,4.4,5.75,,,,3.25,4.75,8,4.6,,5.33,,,13.75,14.75,
59002899,6.2,6.25,4.5,4.5,4.5,,,,4,4.5,,15.2,15.2,,16.45,14.7
59002909,4.2,5.75,,,,1.5,4.75,7,2.8,,4.42,,,12,12.75,
59002911,2.8,8,,,,4,6.25,7.75,3.2,,6,,,18.25,14,
59002930,5.2,7.75,5.5,5.25,4,,,,4.2,4.92,,15.95,14.45,,17.15,14.9
59002932,3,6,,,,3,6,7.75,2.4,,5.58,,,15,11.4,
59002560,4,2.5,,,,3.75,4,6,2,,4.58,,,10.25,8.5,
59002563,5.2,6.25,,,,5,6.25,8.75,3.4,,6.67,,,17.5,14.85,
59002566,3.8,4.75,,,,4,6.25,7.5,3.2,,5.92,,,15,11.75,
59002571,3.6,7.5,,,,4.5,6,8.5,2.4,,6.33,,,18,13.5,
59002573,3.4,6.75,,,,4,4.5,7,4,,5.17,,,15.25,14.15,
59002547,2.6,5.25,,,,4,4.25,7,1.6,,5.08,,,13.5,9.45,
59002550,2.8,5.5,,,,3,4.5,8.25,3.2,,5.25,,,13,11.5,
59002552,4.4,6.5,,,,4,6.75,9.25,3.8,,6.67,,,17.25,14.7,
59002554,4.6,6.5,,,,3.5,5.5,8,1.8,,5.67,,,15.5,12.9,
59002576,3.8,7.25,,,,2.5,6.25,8.5,5.2,,5.75,,,16,16.25,
59002579,4.4,5.75,,,,4.75,6.5,8.25,2.2,,6.5,,,17,12.35,
59002582,2.4,4.75,,,,2,5.5,5.5,2.2,,4.33,,,12.25,9.35,
59002585,4.2,5.75,,,,3.75,6.25,8.25,2.8,,6.08,,,15.75,12.75,
59002591,3,4.75,,,,2.75,5.5,8.75,3.4,,5.67,,,13,11.15,
59002600,2.8,3.75,,,,3,3.75,7.5,2.8,,4.75,,,10.5,9.35,
59002604,3.4,5.5,,,,4.5,5.25,7.5,3.4,,5.75,,,15.25,12.3,
59002589,4.6,6.75,,,,5.5,6,8,4.6,,6.5,,,18.25,15.95,
59002673,4.4,4,,,,5,5.75,5.5,3,,5.42,,,14.75,11.4,
59002679,5.4,7.25,,,,5.5,7,8.75,5.6,,7.08,,,19.75,18.25,
59002681,3.8,5.25,,,,3.75,2.75,7,2.4,,4.5,,,11.75,11.45,
59002683,3.6,3.25,,,,1.5,5.25,7,2.4,,4.58,,,10,9.25,
59002686,2.4,4.25,,,,4,5,6.5,4,,5.17,,,13.25,10.65,
59003382,4.8,4.5,4.25,4,4.75,,,,3.6,4.33,,13.05,13.55,,12.9,12.65
59003384,4.8,7.25,,,,3.75,6.25,9,4.2,,6.33,,,17.25,16.25,
59003394,5.8,7,3.5,2.75,5.5,,,,3,3.92,,12.05,14.05,,15.8,12.3
59003397,5.4,7.75,5.5,6.25,4.5,,,,2.8,5.42,,17.15,16.15,,15.95,13.7
59003403,3.4,8,,,,4.75,5.25,7.5,3,,5.83,,,18,14.4,
59003419,4,5.5,,,,5.25,6.75,8.25,2.4,,6.75,,,17.5,11.9,
59003422,6.2,4.25,3.75,4,4.25,,,,2.6,4,,13.95,14.45,,13.05,12.55
59003425,4.8,7.25,,,,5.5,7.5,9.75,3.6,,7.58,,,20.25,15.65,
59003431,5.4,6,5.5,5.5,5,,,,3.8,5.33,,16.4,15.9,,15.2,14.7
59003442,3.4,6,,,,3.75,5.5,7,3,,5.42,,,15.25,12.4,
59003455,4.6,7,4,4,5,,,,3.6,4.33,,12.6,13.6,,15.2,12.2
59003461,4.6,6,,,,4.25,4,8,4.6,,5.42,,,14.25,15.2,
59003293,4.8,6,,,,5.5,7.25,8.75,4.2,,7.17,,,18.75,15,
