SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
24002636,5.4,5,,,,2.75,7,7.75,3,,5.83,,,14.75,13.4,
24002638,5.6,5,,,,3,5.25,7.75,2.6,,5.33,,,13.25,13.2,
24002640,6.2,6.75,,,,5.25,7,8.5,4.2,,6.92,,,19,17.15,
24002642,4.4,6.75,,,,6.5,8,7.5,4.2,,7.33,,,21.25,15.35,
24002629,4,4.75,,,,3,3.75,7.75,2.2,,4.83,,,11.5,10.95,
24002631,5.6,8,,,,3.75,7.5,8.75,4.4,,6.67,,,19.25,18,
24002633,5.8,7,,,,4.5,7.25,7.5,4.4,,6.42,,,18.75,17.2,
24002885,5,8.25,,,,3,6,8.25,3.2,,5.75,,,17.25,16.45,
24002887,5,6,,,,4.25,5.25,7.25,3.2,,5.58,,,15.5,14.2,
24002891,4.2,5.5,,,,1.75,5.75,6.25,2.8,,4.58,,,13,12.5,
24002898,6.6,6.75,6.5,6.25,6.25,,,,3.4,6.33,,19.35,19.1,,16.75,16.5
24002899,2.4,6.25,,,,3.5,4.75,7.25,2.6,,5.17,,,14.5,11.25,
24002908,5.8,7,,,,3.5,4.75,9,3.8,,5.75,,,15.25,16.6,
24002914,2,5.5,,,,2,5,7.75,2,,4.92,,,12.5,9.5,
24001401,5.8,5,6.25,5.75,4.25,,,,3.6,5.42,,17.8,15.8,,14.4,15.65
24001415,5.8,7.5,,,,4.5,8,9,2.8,,7.17,,,20,16.1,
24001421,3.4,7.25,,,,6.25,7.5,8.5,2.6,,7.42,,,21,13.25,
24001436,4.4,5.5,,,,3.75,5,7.5,3.6,,5.42,,,14.25,13.5,
24001438,6,7.5,,,,4.25,8,9.5,4.6,,7.25,,,19.75,18.1,
24001441,3.4,6.5,,,,4,5.5,9.75,2.8,,6.42,,,16,12.7,
24001447,2.4,6.25,,,,4,4.75,8.25,2.4,,5.67,,,15,11.05,
24001460,4,6,,,,5.25,5.75,7.25,1.8,,6.08,,,17,11.8,
24001462,5.8,6.5,,,,3.5,6,7,3.6,,5.5,,,16,15.9,
24001465,5.2,8,,,,5.25,5,7.75,3.4,,6,,,18.25,16.6,
24000434,5,6,5,5.25,3.25,4.25,6,7.75,4.4,4.5,6,15.25,13.5,16.25,15.4,14.4
24000440,6.4,4,3.25,5,5.25,,,,3,4.5,,14.65,16.65,,13.4,12.65
24000441,5.6,6.25,5.5,4.75,4.25,,,,3.6,4.83,,15.85,14.6,,15.45,14.7
24000444,6.4,6.5,6.25,4,5.75,,,,6.4,5.33,,16.65,16.15,,19.3,19.05
24000446,5.8,6.75,5.5,4.75,4.25,,,,2.2,4.83,,16.05,14.8,,14.75,13.5
24000458,8,6,7,5.5,4.75,,,,5.8,5.75,,20.5,18.25,,19.8,20.8
24001749,6.4,8.5,,,,5,6,7.25,5,,6.08,,,19.5,19.9,
24001761,6.8,6.5,4.25,5,5,,,,4,4.75,,16.05,16.8,,17.3,15.05
24001769,3.8,7,,,,5.25,7.25,8.25,1.8,,6.92,,,19.5,12.6,
24001771,5,8,,,,5.75,6,8.5,2.8,,6.75,,,19.75,15.8,
24001772,3.6,7,,,,3,5,7.25,1.6,,5.08,,,15,12.2,
24001776,5.8,8,,,,4.25,8,7.5,3.6,,6.58,,,20.25,17.4,
24001783,5.2,7.75,,,,4.75,8.75,8.5,3.8,,7.33,,,21.25,16.75,
24001789,5.8,5.75,5,6.25,4.75,,,,5.2,5.33,,17.05,16.8,,16.75,16
24001797,5.8,8,,,,4.75,7,6.75,3.8,,6.17,,,19.75,17.6,
24001799,6.2,7.75,,,,4.5,6.75,8.5,3.2,,6.58,,,19,17.15,
24001804,5.6,8.25,,,,5.5,7.75,8.25,5,,7.17,,,21.5,18.85,
24002020,5.4,5.25,6,3.75,3.25,3,5.5,6.5,3.4,4.33,5,15.15,12.4,13.75,14.05,14.8
24002070,7,6.75,6.75,5.5,5.25,,,,6.6,5.83,,19.25,17.75,,20.35,20.35
24002088,5.2,6,4.75,4.5,4.5,,,,2.6,4.58,,14.45,14.2,,13.8,12.55
24002665,4,6.5,,,,5.25,5.25,6.5,2.8,,5.67,,,17,13.3,
24002675,5,6,,,,5,6.75,6,3.4,,5.92,,,17.75,14.4,
24002677,4.2,5.25,,,,3.5,4.25,7.5,3.8,,5.08,,,13,13.25,
24002680,3.6,5.75,,,,4,5,4.75,2.4,,4.58,,,14.75,11.75,
24002682,5.6,6.75,,,,4.75,4.5,7.5,2.8,,5.58,,,16,15.15,
24002684,4.2,3.5,,,,4,6.25,7,3,,5.75,,,13.75,10.7,
24002686,3.4,6.75,,,,3,4.25,6.5,4.2,,4.58,,,14,14.35,
24002688,3.6,7.25,,,,6.25,7.25,9,5.2,,7.5,,,20.75,16.05,
24002690,5.6,5.5,,,,6,5.5,9.25,5.4,,6.92,,,17,16.5,
24002692,4,4,,,,5.25,4.75,7.25,2.4,,5.75,,,14,10.4,
24002694,5.6,6.5,,,,3.75,7,7.5,5,,6.08,,,17.25,17.1,
24002696,5.6,6.25,,,,4.5,6.25,7,2.6,,5.92,,,17,14.45,
24002698,4.6,6,,,,4,5,7,4,,5.33,,,15,14.6,
24002700,5,7.25,,,,5,7.25,8.25,3,,6.83,,,19.5,15.25,
24002884,3.6,5.25,,,,4,5.25,7.5,2.2,,5.58,,,14.5,11.05,
24002906,5,6.5,,,,6,4.25,8.25,2.8,,6.17,,,16.75,14.3,
24001108,5.2,,4.5,5.25,,,,,,,,14.95,,,,
24001365,6.4,,6.75,6.5,,,,,,,,19.65,,,,
24000918,7.4,,7.25,6.5,2.25,,,,,5.33,,21.15,16.15,,,
24001012,7.2,,8.5,8,2.75,,,,,6.42,,23.7,17.95,,,
24001184,,5.25,3.25,5,4.5,,,,1.8,4.25,,,,,#VALUE!,
24001354,6.2,,6.75,4.75,3.75,,,,,5.08,,17.7,14.7,,,
24000924,6.2,1.5,6.25,7,4.25,,,,2.6,5.83,,19.45,17.45,,10.3,15.05
24001146,6.4,,5,5,3.75,,,,,4.58,,16.4,15.15,,,
24000903,4.6,5.5,,,,3.5,,,,,,,,,,
24001116,7.8,6,,,,8,,,,,,,,,,
24001314,3.4,2.25,,,,3.25,,,,,,,,,,
24001336,4.4,4.25,,,,4.25,,,,,,,,,,
24000211,7,4.75,7.75,7.5,4.75,,,,5,6.67,,22.25,19.25,,16.75,19.75
24000213,7.2,7.5,,,,7.25,7.75,9.5,8.4,,8.17,,,22.5,23.1,
24000219,6.2,6.5,4.5,5.5,3.75,,,,4.8,4.58,,16.2,15.45,,17.5,15.5
24000256,7.4,6.5,5,7,4.25,,,,8.4,5.42,,19.4,18.65,,22.3,20.8
24000273,6,7.25,,,,4.5,5,7,4.8,,5.5,,,16.75,18.05,
24000278,6.2,6.5,4,5.5,5.5,,,,3.4,5,,15.7,17.2,,16.1,13.6
24001481,6,8.75,,,,3.25,6.5,9,8,,6.25,,,18.5,22.75,
24001483,3.8,4,,,,2.5,5,5.25,3.2,,4.25,,,11.5,11,
24001510,4.4,7.5,,,,5,5.75,7.25,3.6,,6,,,18.25,15.5,
24001514,3.8,6.25,,,,3.25,4.5,9.25,4.4,,5.67,,,14,14.45,
24000006,7.6,6,7.25,7,4.5,,,,6.4,6.25,,21.85,19.1,,20,21.25
24000020,6.8,6.25,4.5,4.5,7,,,,3.8,5.33,,15.8,18.3,,16.85,15.1
24000022,8,7,8,8,5.25,,,,4,7.08,,24,21.25,,19,20
24000029,7.4,7.75,7.5,4,4,,,,6.4,5.17,,18.9,15.4,,21.55,21.3
24000001,6.4,5.5,7,6.25,4.5,,,,3.4,5.92,,19.65,17.15,,15.3,16.8
24000032,6.8,7.75,5,9.25,8,,,,3.4,7.42,,21.05,24.05,,17.95,15.2
24000037,6.6,9,4.25,6.5,7.5,,,,6.4,6.08,,17.35,20.6,,22,17.25
24000048,7,3.75,8,7.25,4.5,,,,4.4,6.58,,22.25,18.75,,15.15,19.4
24000051,6.8,5.75,5.75,8,6.75,,,,4.2,6.83,,20.55,21.55,,16.75,16.75
24000056,5.6,5,7.75,6.5,5.75,,,,4.2,6.67,,19.85,17.85,,14.8,17.55
24000064,6,7.25,3.5,4.75,6.75,,,,2.4,5,,14.25,17.5,,15.65,11.9
24000070,8,6.75,8.5,6.75,3.5,,,,3.2,6.25,,23.25,18.25,,17.95,19.7
24001808,5.8,5.25,,,,5,7,7.75,6.4,,6.58,,,17.25,17.45,
24001811,5,6.25,5.25,2.5,5.25,,,,6.2,4.33,,12.75,12.75,,17.45,16.45
24001816,4.6,4.25,,,,4.25,7.25,7.25,3,,6.25,,,15.75,11.85,
24001822,4.4,6.25,,,,3.25,4.25,8,3.2,,5.17,,,13.75,13.85,
24001826,6.4,7,6,6,5.25,,,,4.4,5.75,,18.4,17.65,,17.8,16.8
24001831,6.6,8.5,6.5,6.5,3.5,,,,4.4,5.5,,19.6,16.6,,19.5,17.5
24001848,4.8,6.25,,,,4.25,5.5,7.25,2.6,,5.67,,,16,13.65,
24001858,6,7.5,,,,5.5,5.75,8,4,,6.42,,,18.75,17.5,
24001879,6.2,6.25,7.5,5.75,5.25,,,,4.2,6.17,,19.45,17.2,,16.65,17.9
24001895,6.2,7.25,7,6,3.5,,,,4.4,5.5,,19.2,15.7,,17.85,17.6
24001898,5.8,5.75,5,6.25,4.5,3.25,4,4.25,3.4,5.25,3.83,17.05,16.55,13,14.95,14.2
24002138,4.8,7,,,,3.75,7.5,8.25,2.6,,6.5,,,18.25,14.4,
24002152,3.8,6.25,,,,3,6.75,5.5,1.6,,5.08,,,16,11.65,
24002148,5.2,5,,,,3.5,3.5,5.25,2.6,,4.08,,,12,12.8,
24001651,7.8,6.75,5.25,7.5,4.5,,,,3.6,5.75,,20.55,19.8,,18.15,16.65
24001675,5.6,7,6,3.5,3.75,,,,4.6,4.42,,15.1,12.85,,17.2,16.2
24001687,6.2,5.25,4,3,4,,,,3.8,3.67,,13.2,13.2,,15.25,14
24002702,5.2,7,,,,2,4.75,6.75,5.2,,4.5,,,13.75,17.4,
24002704,6,7.75,,,,5.25,8,9,4.8,,7.42,,,21,18.55,
24002705,5.2,5.75,,,,4.25,6,8.25,3.8,,6.17,,,16,14.75,
24002706,6,7.75,,,,6,7.75,8.5,3.6,,7.42,,,21.5,17.35,
24002709,5.6,5,,,,3.75,5.25,7,4.4,,5.33,,,14,15,
24002713,5.4,6.25,,,,2.75,6,6,4.8,,4.92,,,15,16.45,
24002716,5.4,5.5,,,,3.75,5.5,6.25,3.2,,5.17,,,14.75,14.1,
24002722,4.4,6,,,,2.75,4.25,6.5,3.2,,4.5,,,13,13.6,
24000149,7,8.75,7,6.75,7,,,,6,6.92,,20.75,20.75,,21.75,20
24000158,7,9,,,,5.5,8.25,9,8,,7.58,,,22.75,24,
24000176,7,6.5,7.25,7.75,3.25,,,,5.4,6.08,,22,18,,18.9,19.65
24000178,7.6,6,7.25,6.5,3.5,,,,4.6,5.75,,21.35,17.6,,18.2,19.45
24000180,9.2,4.75,4.75,9,8.75,,,,4.8,7.5,,22.95,26.95,,18.75,18.75
24000181,5.4,5,6.5,3.75,4.75,,,,5.6,5,,15.65,13.9,,16,17.5
24000182,6,7,4.25,6.5,7.5,,,,3.8,6.08,,16.75,20,,16.8,14.05
24000185,6.2,7,7.25,7.25,4.75,,,,5.8,6.42,,20.7,18.2,,19,19.25
24000187,4.6,8.25,,,,7.75,8.25,7.75,5.6,,7.92,,,24.25,18.45,
24000285,8,5.75,5.75,7.25,7.25,,,,5,6.75,,21,22.5,,18.75,18.75
24000287,7.6,6.5,8.25,5,5.5,5.25,7.25,8.25,7,6.25,6.92,20.85,18.1,19,21.1,22.85
24000290,6,8,,,,7.75,8.25,9,3.2,,8.33,,,24,17.2,
24000292,6.2,8.75,,,,7.75,8.75,8.25,6.8,,8.25,,,25.25,21.75,
24000295,7.4,6,6.75,6.5,6.75,,,,4.8,6.67,,20.65,20.65,,18.2,18.95
24000003,7.2,9,,,,6,7.5,8.75,9.2,,7.42,,,22.5,25.4,
24000009,6.6,8.25,,,,4.5,5.25,8.5,7.2,,6.08,,,18,22.05,
24000018,6.8,7,4.25,6,6,,,,4.4,5.42,,17.05,18.8,,18.2,15.45
24000030,8.2,6,8,8.25,6.5,,,,4.6,7.58,,24.45,22.95,,18.8,20.8
24000690,6.6,7.5,6.25,6.75,4,,,,5.4,5.67,,19.6,17.35,,19.5,18.25
24000698,6.4,4.25,7.75,7.25,4.25,,,,5.8,6.42,,21.4,17.9,,16.45,19.95
24000726,3.6,6,,,,4.25,5.5,7,3.6,,5.58,,,15.75,13.2,
24000741,5.6,6.5,,,,3,4.25,7.25,3.6,,4.83,,,13.75,15.7,
24000753,3.4,3,,,,4.75,6.25,8,2.6,,6.33,,,14,9,
24000763,6.2,8,,,,3,4.75,7.5,5.4,,5.08,,,15.75,19.6,
24000771,6.4,8,,,,4,6.25,7.5,4.6,,5.92,,,18.25,19,
24000778,5,6.5,,,,2.75,4.5,7.75,4.2,,5,,,13.75,15.7,
24000528,7,6.5,4.75,6.5,4.5,,,,3.8,5.25,,18.25,18,,17.3,15.55
24000564,8,5.5,6.5,7.25,4.5,,,,5.6,6.08,,21.75,19.75,,19.1,20.1
24000601,2.4,6.75,2.25,1.75,3.25,3.5,5.75,7.5,2.8,2.42,5.58,6.4,7.4,16,11.95,7.45
24000604,3,4.5,,,,3.75,4.75,7,2.8,,5.17,,,13,10.3,
24000646,6,8.5,,,,4.75,5.25,6.75,4.4,,5.58,,,18.5,18.9,
24000663,5,8.25,,,,6.5,6.5,8.5,1.8,,7.17,,,21.25,15.05,
24000662,3.8,8.25,,,,2.75,6.25,8,3.6,,5.67,,,17.25,15.65,
24000677,5.6,6.75,,,,5.25,5.5,9,6.4,,6.58,,,17.5,18.75,
24000695,6.6,7.5,,,,6.5,6.75,9.75,6.2,,7.67,,,20.75,20.3,
24000735,6.2,5.75,,,,2.25,5,7,3.8,,4.75,,,13,15.75,
24000682,5.2,5.25,,,,4.25,5.75,8.75,2.4,,6.25,,,15.25,12.85,
24000689,4.2,8,,,,6,6.5,7.5,3.2,,6.67,,,20.5,15.4,
24000692,6.4,8.75,,,,6.5,7,9,6.4,,7.5,,,22.25,21.55,
24000699,6,6.75,,,,5.5,6,7.25,7.4,,6.25,,,18.25,20.15,
24000709,5.2,7.75,,,,4.25,5.75,8.25,6,,6.08,,,17.75,18.95,
24000696,6,7.25,,,,3.5,6,7.75,4.8,,5.75,,,16.75,18.05,
24000712,5.4,7.75,,,,5,6.75,7,4,,6.25,,,19.5,17.15,
24001656,6.8,4.75,5.75,7,4.5,2.5,5.25,5.25,3.4,5.75,4.33,19.55,18.3,12.5,14.95,15.95
24001680,6.2,8,7.75,6.5,5,,,,7,6.42,,20.45,17.7,,21.2,20.95
24001642,5.6,7,6.25,4.25,4,2.5,6,6.25,2.8,4.83,4.92,16.1,13.85,15.5,15.4,14.65
24001658,7,7,3.25,6.75,7.25,,,,5,5.75,,17,21,,19,15.25
24001665,6,7.5,5,7,5.25,,,,3.2,5.75,,18,18.25,,16.7,14.2
24001673,8,6.25,6.75,7.5,4.25,,,,4,6.17,,22.25,19.75,,18.25,18.75
24001692,6,4.5,4.75,5.25,3.75,4.25,6.5,6.5,4.8,4.58,5.75,16,15,15.25,15.3,15.55
24001701,6.6,8.5,7,6,5,,,,4.2,6,,19.6,17.6,,19.3,17.8
24001731,7.6,8.25,7,5.75,5.5,,,,8.4,6.08,,20.35,18.85,,24.25,23
24002879,5.2,6,,,,4,5,7.75,4.2,,5.58,,,15,15.4,
24002881,6.2,7.5,5,7.25,4.75,,,,3.8,5.67,,18.45,18.2,,17.5,15
24002882,6.4,5,7.75,7,6,,,,3.2,6.92,,21.15,19.4,,14.6,17.35
24002893,5,7.5,,,,4.25,6.5,8,3.8,,6.25,,,18.25,16.3,
24002901,3.8,5.25,,,,4,5.5,7,3.2,,5.5,,,14.75,12.25,
24002918,4.4,6,,,,5.25,4.75,7.75,3.6,,5.92,,,16,14,
24002925,7.2,7.5,6,6.25,7.5,,,,6.6,6.58,,19.45,20.95,,21.3,19.8
24000203,6.4,5,8.25,4.5,5,,,,5.8,5.92,,19.15,15.9,,17.2,20.45
24000206,6.2,9,,,,4,6.5,10,7,,6.83,,,19.5,22.2,
24000221,7.4,8.5,,,,5.75,7.5,8.25,8.6,,7.17,,,21.75,24.5,
24000226,7.4,5,8.5,6.5,5,,,,5.6,6.67,,22.4,18.9,,18,21.5
24000242,8.4,5,5,8.75,9,,,,7.4,7.58,,22.15,26.15,,20.8,20.8
24000245,6.2,7.25,4,6.5,6.5,,,,3.8,5.67,,16.7,19.2,,17.25,14
24000247,6.4,9,,,,8.5,9,8.5,5.8,,8.67,,,26.5,21.2,
24000250,7,8.5,,,,6.75,8.75,8.5,9,,8,,,24,24.5,
24000265,7.2,5.75,7.75,5.5,4.25,,,,3,5.83,,20.45,16.95,,15.95,17.95
24000485,6.4,8.25,,,,6.5,6.5,9,4.8,,7.33,,,21.25,19.45,
24000491,6.6,6.5,7.25,7.25,3.25,,,,4.2,5.92,,21.1,17.1,,17.3,18.05
24000514,2.4,5.75,,,,3.75,6.5,7.5,4.4,,5.92,,,16,12.55,
24000518,6.4,5.5,,,,3,4.75,6.75,1.2,,4.83,,,13.25,13.1,
24000544,6,6,6.75,5.5,4.5,,,,4.2,5.58,,18.25,16,,16.2,16.95
24000560,6,7.75,,,,2.75,6.75,8,6,,5.83,,,17.25,19.75,
24000568,6,6,,,,4,7,7.5,6,,6.17,,,17,18,
24000586,6.4,7.25,5.5,6.25,3.5,,,,5.6,5.08,,18.15,16.15,,19.25,17.5
24000789,7.4,6.75,,,,5.5,6,8.75,6.2,,6.75,,,18.25,20.35,
24000798,7.6,6.75,6.5,7.5,4.75,,,,5.4,6.25,,21.6,19.85,,19.75,19.5
24000799,6.2,8,,,,4,6.5,5.75,4.6,,5.42,,,18.5,18.8,
24000806,7.2,7,6.75,7.75,4.5,,,,5.4,6.33,,21.7,19.45,,19.6,19.35
24000813,7,6.25,6.25,5.25,4,,,,2.4,5.17,,18.5,16.25,,15.65,15.65
24000331,5.2,6.5,,,,6.5,6.75,8.75,3.2,,7.33,,,19.75,14.9,
24000354,5.8,6.75,,,,4.75,5.25,7.25,3.6,,5.75,,,16.75,16.15,
24000358,3.6,4.5,,,,2.75,5.5,6.75,3,,5,,,12.75,11.1,
24000409,6,8.5,,,,4.5,7,7.5,7.2,,6.33,,,20,21.7,
24000420,5.2,6.75,,,,5.75,7.75,8.75,4.4,,7.42,,,20.25,16.35,
24000361,5.8,8.25,,,,2.5,6.25,8,6.6,,5.58,,,17,20.65,
24000373,2.2,4.75,,,,4.25,4.5,6.75,2.6,,5.17,,,13.5,9.55,
24000383,5.6,8.5,,,,5,7.5,8.25,5.4,,6.92,,,21,19.5,
24000401,5,8.25,,,,3.25,5.5,7.75,7.2,,5.5,,,17,20.45,
24000405,3.6,8.25,,,,8,7.25,8.5,3.8,,7.92,,,23.5,15.65,
24000413,6.6,8.25,,,,6.5,7.25,8.75,7.6,,7.5,,,22,22.45,
24000767,6.2,7,4.25,2.75,4.25,3.5,4.25,6.25,2.2,3.75,4.67,13.2,13.2,14.75,15.4,12.65
24000737,6,7.5,,,,4.25,6,8.5,7.4,,6.25,,,17.75,20.9,
24000740,4.8,8,,,,3,5.25,7.25,5,,5.17,,,16.25,17.8,
24000770,5,7.75,,,,4.5,5.5,7,5.2,,5.67,,,17.75,17.95,
24002110,4.4,7.5,,,,4,6,7.75,3.2,,5.92,,,17.5,15.1,
24002119,4.8,7,,,,5.5,6.75,8.25,2.6,,6.83,,,19.25,14.4,
24002130,6.8,6.5,5.25,7,5,,,,5.8,5.75,,19.05,18.8,,19.1,17.85
24001615,5.2,6.25,,,,3.5,7.25,7.5,3.2,,6.08,,,17,14.65,
24001621,5.6,9,,,,4.75,7.5,9.5,7.8,,7.25,,,21.25,22.4,
24001634,5,4.25,,,,3.25,6.75,7,4,,5.67,,,14.25,13.25,
24001641,4.4,5,,,,2,6.25,7,2.6,,5.08,,,13.25,12,
24001643,3.8,5.25,,,,3.25,6,7,3,,5.42,,,14.5,12.05,
24002620,4.8,7.25,,,,4.25,6,8.5,2.6,,6.25,,,17.5,14.65,
24002630,6.2,4.75,,,,4.25,7,7.5,2.6,,6.25,,,16,13.55,
24002635,4.8,6.5,,,,3,5.5,6.75,2.8,,5.08,,,15,14.1,
24002649,6.8,6.25,,,,4,5.75,8.75,4.6,,6.17,,,16,17.65,
24002651,4.8,7.25,,,,3.25,6.5,8,3,,5.92,,,17,15.05,
24002934,6.8,5.25,5.5,3.5,5.25,,,,3,4.75,,15.8,15.55,,15.05,15.3
24002938,6.8,6.5,6.25,6.5,3.25,,,,4.6,5.33,,19.55,16.55,,17.9,17.65
24002947,5.4,7.25,,,,4.25,6,9,3.4,,6.42,,,17.5,16.05,
24002950,5.2,7.75,,,,5.5,5.5,8.5,4,,6.5,,,18.75,16.95,
24002957,6.8,6.75,5,5.5,3.25,,,,4,4.58,,17.3,15.55,,17.55,15.8
24002960,4.4,6.75,,,,5,6,8,3.8,,6.33,,,17.75,14.95,
24002965,2.2,5.25,,,,5.75,5.5,8.25,3.2,,6.5,,,16.5,10.65,
24002972,4.2,6,,,,5.5,8,9.25,2.2,,7.58,,,19.5,12.4,
24002979,5.4,6.5,,,,7,7.25,9.5,3.2,,7.92,,,20.75,15.1,
24002987,4.2,8.75,,,,7,8.5,9.25,5,,8.25,,,24.25,17.95,
