SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
32007188,4.8,5.25,4.75,3.75,3.25,,,,2.8,3.92,,13.3,11.8,,12.85,12.35
32007193,4.4,7.25,,,,4.5,7,8.25,4,,6.58,,,18.75,15.65,
32007195,6.4,5.75,5.25,4.5,3.25,,,,5,4.33,,16.15,14.15,,17.15,16.65
32007200,6,6.5,,,,3.75,6.75,7.75,4.4,,6.08,,,17,16.9,
32007202,5.4,5.5,,,,2.5,5.75,7.75,4,,5.33,,,13.75,14.9,
32007214,6,4.5,5.75,4.25,3.75,,,,3.8,4.58,,16,14,,14.3,15.55
32007225,5.8,4.5,4,4.25,2.5,,,,4.2,3.58,,14.05,12.55,,14.5,14
32007227,3.6,6.75,,,,2.5,5.75,8,3.4,,5.42,,,15,13.75,
32007231,6,5.25,5,4.75,5.25,,,,2.4,5,,15.75,16,,13.65,13.4
32007234,4,5.75,,,,3.25,4.25,8,3.6,,5.17,,,13.25,13.35,
32007237,6.2,6,3.75,2.25,3.75,,,,3.2,3.25,,12.2,12.2,,15.4,13.15
32007240,4,4.5,,,,2.75,3.25,4.75,2.8,,3.58,,,10.5,11.3,
32007244,5.4,7.25,,,,4.5,4.5,7.75,5.4,,5.58,,,16.25,18.05,
32007252,4.4,4.75,,,,3.5,7,7.25,2.6,,5.92,,,15.25,11.75,
32007259,4.4,4.75,,,,3.5,4.5,5.75,3.2,,4.58,,,12.75,12.35,
32007262,4.6,5.5,4.25,4.25,4.75,,,,3.4,4.42,,13.1,13.6,,13.5,12.25
32007264,6,4.25,4.5,4.75,3.25,,,,2.6,4.17,,15.25,14,,12.85,13.1
32007300,5.8,5.5,4.75,4.25,5,,,,3,4.67,,14.8,15.05,,14.3,13.55
32007315,6,5.25,3.75,5,4.75,,,,4,4.5,,14.75,15.75,,15.25,13.75
32007324,6.6,5,5.5,5.5,4.5,,,,3.6,5.17,,17.6,16.6,,15.2,15.7
32007304,7.4,4.5,4.5,4.75,5.5,,,,3.2,4.92,,16.65,17.65,,15.1,15.1
32007336,6.4,5,6.25,6.25,3.25,,,,4,5.25,,18.9,15.9,,15.4,16.65
32007356,5.6,6.75,6.75,5.75,6.25,,,,4,6.25,,18.1,17.6,,16.35,16.35
32007228,3.4,3,,,,3.5,5,5,4.6,,4.5,,,11.5,11,
32000882,4,5.25,,,,2.25,6.25,8.5,4,,5.67,,,13.75,13.25,
32003785,4.6,5.5,,,,3.5,4,7.75,2,,5.08,,,13,12.1,
32003792,3.6,5.25,,,,1.5,3.75,5.5,3.2,,3.58,,,10.5,12.05,
32003794,2.2,4,,,,3.25,4,5.25,2,,4.17,,,11.25,8.2,
32003799,3,3,,,,2.25,3.5,4.5,1.4,,3.42,,,8.75,7.4,
32003801,3.6,5,,,,2,3.75,5.75,3.2,,3.83,,,10.75,11.8,
32003803,4.2,6,,,,2.25,4.5,6,1.8,,4.25,,,12.75,12,
32003805,2.2,3.5,,,,3,3.5,5,2.8,,3.83,,,10,8.5,
32003782,3.2,5,,,,3,5.75,6.5,2.8,,5.08,,,13.75,11,
32003810,3.6,2.5,,,,1.5,4.5,6.25,3.2,,4.08,,,8.5,9.3,
32007212,4.4,5.5,4.5,3.75,4.75,,,,2.4,4.33,,12.65,12.9,,12.3,11.3
32007238,6.2,7.25,3.75,4.75,4.25,,,,4.6,4.25,,14.7,15.2,,18.05,14.55
32007241,5.8,5.5,5.25,3,2.75,,,,4,3.67,,14.05,11.55,,15.3,15.05
32007253,5.8,6.75,5.75,6,3.75,,,,3.2,5.17,,17.55,15.55,,15.75,14.75
32007256,5.4,7.25,5.5,3.25,4.25,,,,3.6,4.33,,14.15,12.9,,16.25,14.5
32003411,7.4,7.75,5.5,5.75,5,,,,7.6,5.42,,18.65,18.15,,22.75,20.5
32003414,6.6,5.75,8.25,7.75,5.75,,,,4.4,7.25,,22.6,20.1,,16.75,19.25
32003443,1.8,2.5,,,,3.5,3,5.5,1.8,,4,,,9,6.1,
32003449,2.6,4.5,3.75,5.25,3.25,,,,1.6,4.08,,11.6,11.1,,8.7,7.95
32003455,5.4,5,4.25,5.75,3.25,,,,1.8,4.42,,15.4,14.4,,12.2,11.45
32003475,6.8,5.75,6.75,7.75,6.75,,,,5.2,7.08,,21.3,21.3,,17.75,18.75
32003478,3,4.25,,,,3.5,5,6.25,2.8,,4.92,,,12.75,10.05,
32003069,7,6,6.5,5.25,5,,,,4.8,5.58,,18.75,17.25,,17.8,18.3
32003078,5,5,2.75,4.75,5,,,,3,4.17,,12.5,14.75,,13,10.75
32003088,3,6,,,,2.25,2.75,2.25,2.8,,2.42,,,11,11.8,
32003094,4.6,6.5,,,,3.25,6,7,4.6,,5.42,,,15.75,15.7,
32003522,3.8,1.75,,,,2.5,3.75,2.25,3.4,,2.83,,,8,8.95,
32001273,5.4,7,,,,6,6.75,8.5,2.6,,7.08,,,19.75,15,
32001274,4.6,6,,,,4.5,6.75,6.5,1.8,,5.92,,,17.25,12.4,
32001279,4.6,6,,,,3,6,8,3.4,,5.67,,,15,14,
32001007,3.4,5,,,,4.25,5,6,2.8,,5.08,,,14.25,11.2,
32001010,2,4,,,,1.75,3.75,6,3.8,,3.83,,,9.5,9.8,
32001013,5,7.25,,,,5.5,5.25,7.5,3.2,,6.08,,,18,15.45,
