SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
36002117,3.8,4.75,,,,3.5,7.25,8,4.4,,6.25,,,15.5,12.95,
36002118,5.8,5.25,3.5,4.75,5,,,,5,4.42,,14.05,15.55,,16.05,14.3
36002127,4.2,4.75,,,,3,5.25,8.5,3.6,,5.58,,,13,12.55,
36002129,4.8,6,,,,3.75,5.5,7.75,3.4,,5.67,,,15.25,14.2,
36002135,5.4,7,,,,3.5,7.75,8.75,3,,6.67,,,18.25,15.4,
36002137,5.2,5,4,5.5,4.75,,,,4.6,4.75,,14.7,15.45,,14.8,13.8
36002148,3,3.5,,,,2.5,4.75,7.5,2.6,,4.92,,,10.75,9.1,
36002156,4.4,6.75,,,,4.75,8,8.75,2,,7.17,,,19.5,13.15,
36002162,5.2,6.25,,,,4,7.5,7.75,3.2,,6.42,,,17.75,14.65,
36002301,1.2,2.5,,,,2.5,4,,,,,,,9,,
36002311,3.2,2.75,,,,4.75,7.25,,,,,,,14.75,,
36002317,2,2,,,,1.75,4.75,,,,,,,8.5,,
36002323,1.8,2.75,,,,2.25,3.75,,,,,,,8.75,,
36002329,2.6,3,,,,3.25,2,,,,,,,8.25,,
36002335,2.6,1.75,,,,3.25,3.5,,,,,,,8.5,,
36002347,1.6,1.25,,,,1.25,3,,,,,,,5.5,,
36002350,5,7,,,,5.25,6.25,,,,,,,18.5,,
36002353,2.4,2.25,,,,2.5,3.75,,,,,,,8.5,,
36002356,2.6,1.25,,,,3.75,4.5,,,,,,,9.5,,
36002362,2.6,1.25,,,,2.5,2.5,,,,,,,6.25,,
36001151,5.6,4.25,,,,4,6.5,7.5,2.8,,6,,,14.75,12.65,
36001164,3.2,2.75,,,,2.5,4,5.5,2.8,,4,,,9.25,8.75,
36001169,4.2,3.5,3.5,3,4.5,,,,2.6,3.67,,10.7,11.7,,10.3,10.3
36001175,2.2,2.75,,,,2.75,2.5,5.25,3.4,,3.5,,,8,8.35,
36000957,4.4,4.5,,,,3.25,3.5,5.25,4.4,,4,,,11.25,13.3,
36000982,3,4.5,,,,3.5,6.75,7.25,3,,5.83,,,14.75,10.5,
36000986,4.2,4.25,,,,3.25,5.75,6,3.6,,5,,,13.25,12.05,
