SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
52002005,7.2,3.25,6.75,4.75,4.5,,,,7.2,5.33,,18.7,16.45,,17.65,21.15
52002014,4.8,4.5,2.25,2.75,2.5,,,,3,2.5,,9.8,10.05,,12.3,10.05
52002013,4.6,6.5,4.75,4.25,4.5,,,,5.6,4.5,,13.6,13.35,,16.7,14.95
52002007,5.4,6.25,3,4,4.75,,,,2.8,3.92,,12.4,14.15,,14.45,11.2
52002023,5.4,5.5,4.25,3.25,3,,,,5,3.5,,12.9,11.65,,15.9,14.65
52002031,4.8,4,5,3.25,4.5,,,,5.8,4.25,,13.05,12.55,,14.6,15.6
52002048,7,5.75,4.75,5.5,6,,,,3.8,5.42,,17.25,18.5,,16.55,15.55
52002035,5.6,6.5,3.5,4,5,,,,4.2,4.17,,13.1,14.6,,16.3,13.3
52002040,6.6,5,5.25,7.25,4.5,,,,6.2,5.67,,19.1,18.35,,17.8,18.05
52002034,6.8,6.75,6.5,5.25,4.25,,,,5.2,5.33,,18.55,16.3,,18.75,18.5
52002055,5.8,4.75,4,3.25,3.5,,,,4.6,3.58,,13.05,12.55,,15.15,14.4
52002049,6.2,5,8,7.5,2.75,,,,3.6,6.08,,21.7,16.45,,14.8,17.8
52002057,6.8,6,5.75,4.5,4,,,,8,4.75,,17.05,15.3,,20.8,20.55
52002064,6,4.75,6,4.5,5.25,,,,7.8,5.25,,16.5,15.75,,18.55,19.8
52002088,6.4,6.75,3.25,4.5,3.25,,,,8.2,3.67,,14.15,14.15,,21.35,17.85
52002076,6.6,7.5,4,4.75,2.25,,,,4.8,3.67,,15.35,13.6,,18.9,15.4
52002092,7,4,5,5.25,4.25,,,,5,4.83,,17.25,16.5,,16,17
52002071,6.2,5.75,5.5,5.25,4.25,,,,3.8,5,,16.95,15.7,,15.75,15.5
52002084,6.2,6.25,5.75,3.75,3,,,,2.6,4.17,,15.7,12.95,,15.05,14.55
52002096,5.2,3.5,3.5,4.25,4,,,,3.8,3.92,,12.95,13.45,,12.5,12.5
52002100,6.6,6,6.5,6.75,5,,,,4.6,6.08,,19.85,18.35,,17.2,17.7
52002104,5,5.5,1.75,3.25,3.5,,,,4.2,2.83,,10,11.75,,14.7,10.95
52002108,7,6.5,7,6.5,5,,,,6.4,6.17,,20.5,18.5,,19.9,20.4
52002118,5.4,5.75,5.75,6.25,6,,,,4.6,6,,17.4,17.65,,15.75,15.75
52002112,6.2,3.75,4.5,6.5,4.75,,,,5.8,5.25,,17.2,17.45,,15.75,16.5
52001223,5.4,6.5,,,,5.5,6.5,8.75,4.4,,6.92,,,18.5,16.3,
52001227,5.6,5.75,,,,3.5,5.25,7.5,4.2,,5.42,,,14.5,15.55,
52002124,5.4,3,5.5,5.5,5.5,,,,5.8,5.5,,16.4,16.4,,14.2,16.7
52001266,4.6,2.75,4,5,3,,,,2.4,4,,13.6,12.6,,9.75,11
52001259,4.4,5.5,,,,6.25,5.5,7.75,4,,6.5,,,17.25,13.9,
52001235,4.2,5,,,,4,7.25,7.25,3.4,,6.17,,,16.25,12.6,
52001251,4.2,5,,,,4.5,6.5,7,6.6,,6,,,16,15.8,
52001261,7.4,7,4.75,3.5,4.5,,,,8.2,4.25,,15.65,15.4,,22.6,20.35
52001253,5.4,5,,,,3.25,4.5,7.75,4.2,,5.17,,,12.75,14.6,
52001249,3.6,4.25,,,,4.25,5.5,6,4.4,,5.25,,,14,12.25,
52001284,6.4,2.75,6.75,3.75,4.75,,,,7.6,5.08,,16.9,14.9,,16.75,20.75
52001276,4.8,4.25,4.25,4.25,3.75,,,,2.8,4.08,,13.3,12.8,,11.85,11.85
52001280,5.4,4.5,7.5,5.25,4.75,,,,3.8,5.83,,18.15,15.4,,13.7,16.7
52001267,6.6,5.75,5,4.75,4.25,,,,4.6,4.67,,16.35,15.6,,16.95,16.2
52001273,6.8,4.25,6,4,5.25,,,,6.4,5.08,,16.8,16.05,,17.45,19.2
52001288,5,6.25,5.75,5.75,5.5,,,,6.4,5.67,,16.5,16.25,,17.65,17.15
52001296,5,4.25,4.75,3.5,4.25,,,,5.2,4.17,,13.25,12.75,,14.45,14.95
52001312,4,4,3.75,3.5,4,,,,2,3.75,,11.25,11.5,,10,9.75
52001316,5.6,3.5,2.25,4,4.25,,,,3.8,3.5,,11.85,13.85,,12.9,11.65
52001302,6.2,5,6.5,3.75,2.5,,,,5,4.25,,16.45,12.45,,16.2,17.7
52001299,5.8,4.25,4.25,5.5,4.5,,,,4.4,4.75,,15.55,15.8,,14.45,14.45
52001309,6.2,4,4,2.5,6.25,,,,5.6,4.25,,12.7,14.95,,15.8,15.8
52001329,5.4,4.5,4.5,4.5,4.5,,,,7,4.5,,14.4,14.4,,16.9,16.9
52001320,6.2,6,5,6,3.75,,,,8.2,4.92,,17.2,15.95,,20.4,19.4
52001337,6.6,6,5.75,5,5,,,,7.6,5.25,,17.35,16.6,,20.2,19.95
52001322,7.2,5,6,7.25,4,,,,4.8,5.75,,20.45,18.45,,17,18
52001327,6.2,3.75,6.25,6,3.25,,,,7,5.17,,18.45,15.45,,16.95,19.45
52001348,5.2,4.25,5.5,3,4.25,,,,3.8,4.25,,13.7,12.45,,13.25,14.5
52001386,6.2,3.25,7.25,5,4.75,,,,6.8,5.67,,18.45,15.95,,16.25,20.25
52001378,6,7.25,3.5,4,5.75,,,,7.2,4.42,,13.5,15.75,,20.45,16.7
52001362,5.8,3.75,5.25,4.5,5,,,,5.2,4.92,,15.55,15.3,,14.75,16.25
52001366,7,3,6.5,5.25,5,,,,7,5.58,,18.75,17.25,,17,20.5
52009769,4.6,3,,,,2.75,4.5,7,3.4,,4.75,,,10.25,11,
52011134,5,5.25,3.5,5.25,2.75,,,,3.8,3.83,,13.75,13,,14.05,12.3
52011140,6,7,,,,4.5,6.5,7.25,4.4,,6.08,,,18,17.4,
52011147,3.6,6.75,,,,6,7.75,6,3.4,,6.58,,,20.5,13.75,
52010314,5.6,5.25,5.25,6.75,4.25,,,,3.6,5.42,,17.6,16.6,,14.45,14.45
52010317,5,7.25,,,,3.75,6.5,8.75,4.8,,6.33,,,17.5,17.05,
