SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
51000001,6.4,7.25,3,4.5,6,,,,6.2,4.5,,4.63,5.63,,6.62,5.2
51000002,5.4,7.25,5,4,4.25,,,,4.4,4.42,,4.8,4.55,,5.68,4.93
51000003,5.2,7.25,,,,4.5,5.75,6.75,5,,5.67,,,5.83,5.82,
51000004,4.6,6,,,,3,4.25,5.75,2,,4.33,,,4.42,4.2,
51000005,5.6,5.75,5.5,4.25,4.75,,,,4.4,4.83,,5.12,4.87,,5.25,5.17
51000006,4.4,5.5,4.75,3,3.75,,,,3.2,3.83,,4.05,3.72,,4.37,4.12
51000007,7.4,5.5,3.75,7,7.5,,,,5.8,6.08,,6.05,7.3,,6.23,5.65
51000008,7.6,8.25,3.75,4,4.25,,,,7.4,4.0,,5.12,5.28,,7.75,6.25
51000009,5,4.75,2.5,4,6.25,,,,4,4.25,,3.83,5.08,,4.58,3.83
51000010,7.8,5.75,5.25,5.5,6.5,,,,3,5.75,,6.18,6.6,,5.52,5.35
51000011,5.2,8,,,,5.5,7,9,7,,7.17,,,6.83,6.73,
51000012,5.8,7.25,6.25,4.5,5,,,,5.4,5.25,,5.52,5.1,,6.15,5.82
51000013,4.6,8,,,,3.75,5.5,7,5.8,,5.42,,,5.75,6.13,
51000014,6.8,5.75,6,5.75,4,,,,3.8,5.25,,6.18,5.52,,5.45,5.53
51000015,4.8,7,,,,4,5,5.5,3.4,,4.83,,,5.33,5.07,
51000016,6,5,,,,4.25,5.25,7.25,5,,5.58,,,4.83,5.33,
51000017,4.6,7,,,,3.75,6.25,7,4,,5.67,,,5.67,5.2,
51000018,7.4,8.5,,,,5,6,8.25,5,,6.42,,,6.5,6.97,
51000019,6.2,6,5,5.25,3.25,,,,5.2,4.5,,5.48,4.9,,5.8,5.47
51000020,6.4,8,3,6.5,6.75,,,,4.4,5.42,,5.3,6.55,,6.27,4.6
51000021,5.4,6.58,5.5,5.75,4.75,,,,5.6,5.33,,5.55,5.3,,5.86,5.5
51000022,3,4.25,,,,3.5,4.5,6.5,3.2,,4.83,,,4.08,3.48,
51000023,4.2,6.75,,,,3.75,5.5,6.75,5.2,,5.33,,,5.33,5.38,
51000024,4.2,7.5,,,,3.25,6.25,7.5,5,,5.67,,,5.67,5.57,
51000025,5.2,6,,,,2.5,4,7.5,6,,4.67,,,4.17,5.73,
51000026,4.8,9.25,,,,4.75,7,6.5,5.2,,6.08,,,7.0,6.42,
51000027,4.4,7.75,,,,5.5,7.5,7.5,4.6,,6.83,,,6.92,5.58,
51000028,6.6,7.5,6.25,2.75,4.25,,,,6.8,4.42,,5.2,4.53,,6.97,6.55
51000029,6,6.75,7,6.25,4.25,,,,4,5.83,,6.42,5.5,,5.58,5.67
51000030,6,6.25,,,,5,4.75,8,5.6,,5.92,,,5.33,5.95,
51000031,5.4,4.75,6.5,5.5,3,,,,4.2,5.0,,5.8,4.63,,4.78,5.37
51000032,6,6.5,3.5,5.75,6.5,,,,4.8,5.25,,5.08,6.08,,5.77,4.77
51000033,6,6,3.75,5.5,6.25,,,,5.6,5.17,,5.08,5.92,,5.87,5.12
51000034,6.8,5.75,7,3.5,5.5,,,,8,5.33,,5.77,5.27,,6.85,7.27
51000035,5,8.75,,,,5.75,7.25,8.75,4.2,,7.25,,,7.25,5.98,
51000036,6,7.25,5.5,3.25,4.75,,,,5.4,4.5,,4.92,4.67,,6.22,5.63
51000037,5.2,5,5.25,4,5.5,,,,6.4,4.92,,4.82,4.9,,5.53,5.62
51000038,5,6.25,6,4,5.5,,,,3.8,5.17,,5.0,4.83,,5.02,4.93
51000039,3.6,5.5,3.75,3.5,5,,,,3.8,4.08,,3.62,4.03,,4.3,3.72
51000040,3.8,5.5,,,,3.75,4.75,6.25,3,,4.92,,,4.67,4.1,
51000041,6.2,7.25,5.75,3.75,2.5,,,,6,4.0,,5.23,4.15,,6.48,5.98
51000042,4.8,6.75,5,5.25,6,,,,4,5.42,,5.02,5.35,,5.18,4.6
51000043,5.4,7.25,,,,3.75,6,6.75,4.8,,5.5,,,5.67,5.82,
51000044,6.4,5,7,5.5,3.5,,,,3.8,5.33,,6.3,5.13,,5.07,5.73
51000045,5,6,5.5,3.25,3.75,,,,4.2,4.17,,4.58,4.0,,5.07,4.9
51000046,3.6,4.25,4,2.5,4.25,,,,3.4,3.58,,3.37,3.45,,3.75,3.67
51000047,3.2,6.25,,,,4.25,6,6,3.6,,5.42,,,5.5,4.35,
51000048,4.8,5,,,,3.5,5.25,8,3.6,,5.58,,,4.58,4.47,
51000049,6,6.75,7,5.75,3.5,,,,3.4,5.42,,6.25,5.08,,5.38,5.47
51000050,6.6,4.25,5.25,5.5,7,,,,4.6,5.92,,5.78,6.37,,5.15,5.48
51000051,4.8,5,3.25,5.5,6,,,,5,4.92,,4.52,5.43,,4.93,4.35
51000052,6.2,7.25,3.75,4.5,5,,,,4.2,4.42,,4.82,5.23,,5.88,4.72
51000053,5.8,7.25,,,,5.5,5.5,8,5.6,,6.33,,,6.08,6.22,
51000054,6.8,5.5,6.25,4.75,4.75,,,,4,5.25,,5.93,5.43,,5.43,5.68
51000055,6.6,6.25,4.75,6.5,6.25,,,,5,5.83,,5.95,6.45,,5.95,5.45
51000056,4.2,7.75,,,,5.75,6.25,8,2.8,,6.67,,,6.58,4.92,
51000057,2.4,4.25,,,,1.5,5.25,4.25,1.8,,3.67,,,3.67,2.82,
51000058,5.2,5,,,,3.5,5.25,7.25,5.8,,5.33,,,4.58,5.33,
51000059,4.4,5.25,2.5,3.75,3.25,,,,2.6,3.17,,3.55,3.8,,4.08,3.17
51000060,3.2,5.25,3.5,3.25,2.5,,,,3.4,3.08,,3.32,2.98,,3.95,3.37
51000061,5.4,7.5,3.75,5.25,7,,,,3.6,5.33,,4.8,5.88,,5.5,4.25
51000062,6.2,7.5,7,5.75,4,,,,7.2,5.58,,6.32,5.32,,6.97,6.8
51000063,6.4,6.25,5.5,2.75,4,,,,3.6,4.08,,4.88,4.38,,5.42,5.17
51000064,4.8,8.5,,,,7,8.5,7.5,4.4,,7.67,,,8.0,5.9,
51000065,4.8,7.25,,,,5,7.25,8.5,6.2,,6.92,,,6.5,6.08,
51000066,5,6.75,5.5,5.75,3,,,,3.2,4.75,,5.42,4.58,,4.98,4.57
51000067,4.4,5.75,,,,5.75,7.5,7.25,6,,6.83,,,6.33,5.38,
51000068,7,6.75,6.75,6.5,4.5,,,,4.2,5.92,,6.75,6.0,,5.98,5.98
51000069,5.6,7,,,,3.75,5.5,7.75,3.2,,5.67,,,5.42,5.27,
51000070,4.6,4.25,3,5.25,2.75,,,,2.8,3.67,,4.28,4.2,,3.88,3.47
51000071,7,7.75,,,,5.75,8,7,6.4,,6.92,,,7.17,7.05,
51000072,6,5.75,6,6.5,5.25,,,,5.2,5.92,,6.17,5.92,,5.65,5.73
51000073,6.8,6,5.75,5.25,5.75,,,,6.4,5.58,,5.93,5.93,,6.4,6.32
51000074,3.8,5.25,,,,4,6.5,7,2.6,,5.83,,,5.25,3.88,
51000075,5.2,6.25,5.75,5.5,5.25,,,,4.8,5.5,,5.48,5.32,,5.42,5.25
51000076,4.2,4,3.75,3.25,4.25,,,,2.2,3.75,,3.73,3.9,,3.47,3.38
51000077,4.8,5.75,,,,5,7.25,6,2.6,,6.08,,,6.0,4.38,
51000078,5.8,7,3.5,6.25,6.25,,,,3,5.33,,5.18,6.1,,5.27,4.1
51000079,6,7.5,,,,4.25,5.25,4,3.6,,4.5,,,5.67,5.7,
51000080,5.8,4.25,6,5,3.5,,,,4.6,4.83,,5.6,4.77,,4.88,5.47
51000081,5.6,5,7.25,5,7,,,,6.2,6.42,,5.95,5.87,,5.6,6.35
51000082,5.6,8,,,,5,8.5,8.5,4.8,,7.33,,,7.17,6.13,
51000083,5.6,7,5,6.5,4.75,,,,5.4,5.42,,5.7,5.62,,6.0,5.33
51000084,6,6,7,5,2.75,,,,4,4.92,,6.0,4.58,,5.33,5.67
51000085,6.4,7.75,7.5,6,4.75,,,,6.4,6.08,,6.63,5.72,,6.85,6.77
51000086,3.4,5.5,,,,3.75,6.25,8,3.6,,6.0,,,5.17,4.17,
51000087,6.6,7.25,7,7.25,5.25,,,,6.4,6.5,,6.95,6.37,,6.75,6.67
51000088,5,6.75,2.5,6,4.5,,,,3.6,4.33,,4.5,5.17,,5.12,3.7
51000089,5.8,6.75,,,,3.25,5,6.75,3.6,,5.0,,,5.0,5.38,
51000090,5.6,6,4.5,2.5,4.5,,,,5.2,3.83,,4.2,4.2,,5.6,5.1
51000091,3.6,6.25,,,,3,6,8.25,5.8,,5.75,,,5.08,5.22,
51000092,6.2,6.75,3.5,5,6,,,,3.6,4.83,,4.9,5.73,,5.52,4.43
51000093,4.6,8,,,,6,7.25,6.75,3.2,,6.67,,,7.08,5.27,
51000094,6.8,6.5,6.25,6.25,5.75,,,,4,6.08,,6.43,6.27,,5.77,5.68
51000095,5.2,5.75,5.25,2.5,3.5,,,,3.2,3.75,,4.32,3.73,,4.72,4.55
51000096,5.6,7.75,,,,7,8.25,9.25,7.2,,8.17,,,7.67,6.85,
51000097,3.2,7.5,,,,3.5,4.5,6.5,3.8,,4.83,,,5.17,4.83,
51000098,7.2,5,4.25,7.25,5.25,,,,6.4,5.58,,6.23,6.57,,6.2,5.95
51000099,5.8,6,4.25,3.75,4.5,,,,2.4,4.17,,4.6,4.68,,4.73,4.15
51000100,5,5,5,2.5,3.5,,,,4,3.67,,4.17,3.67,,4.67,4.67
51000101,5.6,5.25,5,3.25,3.5,,,,5.2,3.92,,4.62,4.12,,5.35,5.27
51000102,6,5.25,6.25,5.75,4,,,,3.4,5.33,,6.0,5.25,,4.88,5.22
51000103,4.2,6.5,,,,5.5,6,7.25,2.6,,6.25,,,6.0,4.43,
51000104,6.2,4.5,5,3,3,,,,3.6,3.67,,4.73,4.07,,4.77,4.93
51000105,5.4,5,,,,4.25,5.75,8.75,3,,6.25,,,5.0,4.47,
51000106,5.2,5,5,5.5,4.25,,,,3.8,4.92,,5.23,4.98,,4.67,4.67
51000107,6.2,7.75,4,4,4.25,,,,6.2,4.08,,4.73,4.82,,6.72,5.47
51000108,5.4,8.5,5.5,6,4.25,,,,3.8,5.25,,5.63,5.22,,5.9,4.9
51000109,5.4,8.25,,,,5.75,6.5,8.25,6.2,,6.83,,,6.83,6.62,
51000110,4.4,6.5,,,,6.75,6.5,8.5,3.6,,7.25,,,6.58,4.83,
51000111,5.2,4.25,5.75,5.25,4.5,,,,4.4,5.17,,5.4,4.98,,4.62,5.12
51000112,4,5.25,4.25,1.75,4.25,,,,5.4,3.42,,3.33,3.33,,4.88,4.55
51000113,5.4,6.5,3,4.25,3.75,,,,3.4,3.67,,4.22,4.47,,5.1,3.93
51000114,6,5.5,4.75,4.25,5.25,,,,4.8,4.75,,5.0,5.17,,5.43,5.18
51000115,5.8,6,,,,5.25,7.25,9.25,6.4,,7.25,,,6.17,6.07,
51000116,4.6,5.75,,,,4.25,5.75,7.25,3.4,,5.75,,,5.25,4.58,
51000117,5.2,5.25,6,3.75,4,,,,8,4.58,,4.98,4.32,,6.15,6.4
51000118,5.2,6.25,5.5,4.25,3.75,,,,5,4.5,,4.98,4.4,,5.48,5.23
51000119,6.2,8,,,,4.75,6.75,8.5,6.6,,6.67,,,6.5,6.93,
51000120,7,5.58,7,6.75,6.25,,,,4.8,6.67,,6.92,6.67,,5.79,6.27
51000121,4.4,5.5,5.25,4,4.75,,,,6.2,4.67,,4.55,4.38,,5.37,5.28
51000122,6.8,7.75,,,,6.5,6.75,8.5,5.8,,7.25,,,7.0,6.78,
51000123,6,7,6.75,8,4.75,,,,4.2,6.5,,6.92,6.25,,5.73,5.65
