SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
9006024,5.2,4,5.75,3.5,6.25,,,,3.8,5.17,,14.45,14.95,,13,14.75
9005502,2.8,,,,,3.5,3.25,,1.4,,,,,,,
9005511,5.6,8,,,,6.75,,,,,,,,,,
9005524,7.6,,,7.25,6.75,,,,,,,,21.6,,,
9005541,3.2,1.25,,,,2.25,,,,,,,,,,
9005545,3.6,2.75,,,,2,2.25,,3.4,,,,,7,9.75,
9005575,2.2,5.25,,,,4,,,,,,,,,,
9005576,6.6,,,7.5,6,,,,,,,,20.1,,,
9005589,3.2,5.25,,,,4,6.75,7.75,2.8,,6.17,,,16,11.25,
9005255,5,6,,,,3.75,6.25,7,2,,5.67,,,16,13,
9005257,3.6,6.75,,,,4.5,3.75,8,3,,5.42,,,15,13.35,
9005259,3.4,5.5,,,,7,4.75,5.75,2.8,,5.83,,,17.25,11.7,
9005261,2.6,3,,,,2.25,4,5.75,2.2,,4,,,9.25,7.8,
9005262,2,5.75,,,,5,5.75,7.25,2.4,,6,,,16.5,10.15,
9005263,2.8,3.25,,,,2.5,5.25,6,2.8,,4.58,,,11,8.85,
9005265,4.6,7.25,,,,4.25,5.25,7,2.6,,5.5,,,16.75,14.45,
9005268,5,6,,,,5,5.25,8,2.2,,6.08,,,16.25,13.2,
9005270,3.4,6,,,,3.75,6,6.25,3,,5.33,,,15.75,12.4,
9005273,4,6,,,,2.25,5.25,8.75,3.4,,5.42,,,13.5,13.4,
9006025,3.6,6.25,,,,3,4.5,7,2.8,,4.83,,,13.75,12.65,
9006041,2.8,6,,,,4,4.75,7,4.4,,5.25,,,14.75,13.2,
9005450,3.6,6.5,,,,4.25,5.75,5,3.8,,5,,,16.5,13.9,
9005455,3,3.75,,,,3,3.5,7,3.2,,4.5,,,10.25,9.95,
9005462,4.4,7.5,,,,4.5,4.75,8,4.8,,5.75,,,16.75,16.7,
9005467,1.8,5.25,,,,3.75,4.5,7.25,3.6,,5.17,,,13.5,10.65,
9005470,1.8,3,,,,2.5,2.5,4.75,2.8,,3.25,,,8,7.6,
9005472,2.4,3.75,,,,2.5,3.75,5.25,3,,3.83,,,10,9.15,
9005476,3,6.75,,,,3.5,6,6.75,4.2,,5.42,,,16.25,13.95,
9005486,3,6.75,,,,3.5,6,8.5,2.8,,6,,,16.25,12.55,
9005494,3.6,5.5,,,,3.5,5,7.25,3.6,,5.25,,,14,12.7,
9005870,5.8,,4.75,5.25,5.5,,,,,5.17,,15.8,16.55,,,
9005726,7,,7.5,7.25,5.25,,,,,6.67,,21.75,19.5,,,
9006455,2.8,6.25,,,,2.75,4.5,8.25,2.2,,5.17,,,13.5,11.25,
9006461,2.8,5.25,,,,2,4.5,7.25,2.2,,4.58,,,11.75,10.25,
9006470,3.8,7,,,,3.75,6.5,8.75,2.8,,6.33,,,17.25,13.6,
9006478,5.8,8,4,5.5,5.75,,,,2.2,5.08,,15.3,17.05,,16,12
9005556,6.4,4.25,7.25,7,5.25,,,,1.8,6.5,,20.65,18.65,,12.45,15.45
9005562,2.8,6.5,,,,5.25,4.75,5.75,1.8,,5.25,,,16.5,11.1,
9005582,3.2,8,,,,4,5,7.5,3.6,,5.5,,,17,14.8,
9005590,5.8,7.5,,,,5.25,5.25,6.5,4.2,,5.67,,,18,17.5,
9005745,3.4,6,,,,3.75,4.5,5.75,1.4,,4.67,,,14.25,10.8,
9005767,2.6,4.75,,,,4,6,7,3.8,,5.67,,,14.75,11.15,
9005771,4.6,4.5,,,,3.5,6,8.5,2.2,,6,,,14,11.3,
9005774,3.6,6,,,,3.5,4.5,6.25,3.6,,4.75,,,14,13.2,
9005748,5,5,,,,3.25,6.5,7,3.2,,5.58,,,14.75,13.2,
9005754,2,6.5,,,,4,4,7.25,3.2,,5.08,,,14.5,11.7,
9005757,3.4,3.75,,,,3.5,4.25,5.5,3,,4.42,,,11.5,10.15,
9005761,3.8,6.5,,,,3.5,6.75,7.5,3,,5.92,,,16.75,13.3,
9005783,3.2,3.5,,,,3.5,4.5,6,2.6,,4.67,,,11.5,9.3,
9005792,3.8,4.5,,,,3.25,6.5,6.75,1.8,,5.5,,,14.25,10.1,
9005779,3.2,3.5,,,,3.5,3,5.75,3,,4.08,,,10,9.7,
9005328,3.6,6.5,,,,2.25,6.5,6.5,3.6,,5.08,,,15.25,13.7,
9005332,3,4.25,,,,4,3,4.25,2,,3.75,,,11.25,9.25,
9006247,2.6,4.75,,,,2.25,4.75,5.5,2,,4.17,,,11.75,9.35,
9006261,2.8,3.25,,,,3,4.5,7,2.6,,4.83,,,10.75,8.65,
9006251,2.6,3.75,,,,2.5,3.25,3.5,2.2,,3.08,,,9.5,8.55,
9006253,3.2,4.5,,,,2.75,3.5,4.75,2.2,,3.67,,,10.75,9.9,
9006255,2.8,6,,,,4.5,5.75,7,2,,5.75,,,16.25,10.8,
9006256,4,5.5,,,,4,3.75,5.5,2.6,,4.42,,,13.25,12.1,
9006259,3.2,5.25,,,,3,5.75,6.75,2,,5.17,,,14,10.45,
9006263,4.2,4.25,,,,3,5.25,6,3.2,,4.75,,,12.5,11.65,
9006266,4,4.5,,,,3.75,4.25,6,3,,4.67,,,12.5,11.5,
9006270,3.8,5,,,,2.25,5.75,7,3,,5,,,13,11.8,
9006273,3.8,6.5,,,,2,4,5.5,2.4,,3.83,,,12.5,12.7,
9006258,5.6,7.5,,,,3.75,5,7.75,3.2,,5.5,,,16.25,16.3,
9006741,3.4,5.25,,,,3,4.25,5.25,1.4,,4.17,,,12.5,10.05,
9006751,3.4,5.5,,,,3.75,1.5,2.75,3.6,,2.67,,,10.75,12.5,
9006755,5,5.25,,,,3.75,4.75,4.25,2.8,,4.25,,,13.75,13.05,
9006770,3.8,5.75,,,,2.5,4.5,6.25,2.2,,4.42,,,12.75,11.75,
9006773,4.2,5,,,,2.75,4.5,6.5,1.8,,4.58,,,12.25,11,
9006174,3.4,2.25,,,,2.75,4.25,4.75,1.6,,3.92,,,9.25,7.25,
9006177,5.6,7.25,,,,4.5,7.25,8.75,2.6,,6.83,,,19,15.45,
9006181,2.6,3.75,,,,3.75,5,5.75,3,,4.83,,,12.5,9.35,
9006194,4.6,5.25,,,,4,5.25,8,3.6,,5.75,,,14.5,13.45,
9006199,1.8,2.5,,,,3,2,6.5,3.2,,3.83,,,7.5,7.5,
9006268,3.8,4.5,,,,2.75,5.75,7,1.8,,5.17,,,13,10.1,
9006274,5.2,7,,,,3.75,5,7,2.2,,5.25,,,15.75,14.4,
9006277,4.4,4,,,,2.5,4.25,4,3,,3.58,,,10.75,11.4,
9006279,3.4,5,,,,2,5,6.5,2.8,,4.5,,,12,11.2,
9006281,5.4,7,,,,5,6.5,7.25,3.6,,6.25,,,18.5,16,
9006283,4,6.25,,,,4.75,6.25,8.5,3.4,,6.5,,,17.25,13.65,
9006285,4.2,5,,,,2.75,5.5,7,3,,5.08,,,13.25,12.2,
9006287,2.2,4.25,,,,3,3.25,5.5,1.2,,3.92,,,10.5,7.65,
9006289,2,4.5,,,,3.25,5.75,4.75,3.4,,4.58,,,13.5,9.9,
9006291,2.4,5,,,,3.5,4.25,5.25,1.4,,4.33,,,12.75,8.8,
9006293,4,6.25,,,,4.25,7.75,7.75,3.4,,6.58,,,18.25,13.65,
9006295,5.2,7,,,,7,7.5,8.75,3.4,,7.75,,,21.5,15.6,
9005275,5.8,9,,,,5.25,7.5,8.75,4.2,,7.17,,,21.75,19,
9005277,3.8,4.25,,,,3,5.25,6.75,2.2,,5,,,12.5,10.25,
9005279,4.2,7.75,,,,4.75,6.25,9,5.2,,6.67,,,18.75,17.15,
9005280,3.8,6.5,,,,3,4.5,6.25,4.4,,4.58,,,14,14.7,
9005281,2.4,5.75,,,,4.75,4.75,7.25,2.4,,5.58,,,15.25,10.55,
9005283,3.4,4.5,,,,4.25,5.75,7,3.2,,5.67,,,14.5,11.1,
9005288,3.4,4.75,,,,5.75,5,6.5,4.2,,5.75,,,15.5,12.35,
9005295,3,5,,,,3.75,4.75,7.5,2,,5.33,,,13.5,10,
9005298,3.2,7,,,,3.25,6.5,8.5,2,,6.08,,,16.75,12.2,
9003980,3.6,2,,,,2.25,4.25,6.5,2.4,,4.33,,,8.5,8,
9003986,4,5.5,,,,3,4.75,8,3.4,,5.25,,,13.25,12.9,
9004004,3.4,4.5,,,,2.5,5.5,6.75,2.6,,4.92,,,12.5,10.5,
9004006,7,6.5,4.25,7.5,6.75,,,,2.2,6.17,,18.75,21.25,,15.7,13.45
9004010,2.8,5,,,,4.5,4,7.25,3.2,,5.25,,,13.5,11,
9004030,4.6,4.5,,,,3.5,5.75,8.5,3.6,,5.92,,,13.75,12.7,
9004033,2.2,3.5,,,,3,4.25,6,3,,4.42,,,10.75,8.7,
9004040,5.6,6.25,6.75,5.75,4,,,,4.2,5.5,,18.1,15.35,,16.05,16.55
9006482,5.6,7.5,,,,5,7.5,8.5,4,,7,,,20,17.1,
9006489,2.8,2.5,,,,2.5,3,4.5,3,,3.33,,,8,8.3,
9006492,2.4,3.5,,,,4,5.5,8.25,3.6,,5.92,,,13,9.5,
9006495,2.6,4.25,,,,3.25,2.25,7,3.4,,4.17,,,9.75,10.25,
9006497,3.4,5,,,,3,4.5,6,2.8,,4.5,,,12.5,11.2,
9006503,4.8,4.5,,,,2.75,3.5,5.75,1.8,,4,,,10.75,11.1,
