SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
45005252,2.6,4.75,,,,4,3.75,7.75,2.2,,5.17,,,12.5,9.55,
45005257,4.6,5.5,,,,4.5,4.5,6.25,3,,5.08,,,14.5,13.1,
45005258,2.8,2.75,,,,1.75,4,4.5,3.6,,3.42,,,8.5,9.15,
45005259,4.2,5.25,,,,4,5.75,8.75,4.6,,6.17,,,15,14.05,
45005265,3.4,4.5,,,,2.25,4.5,5.5,2,,4.08,,,11.25,9.9,
45005479,4.2,6,,,,1.75,3.25,7.25,2.2,,4.08,,,11,12.4,
45005480,4.4,6,,,,4.25,6.25,6.5,3.2,,5.67,,,16.5,13.6,
45005483,2.6,5.75,,,,3.75,4.75,6.5,3,,5,,,14.25,11.35,
45005478,4.2,5.25,,,,5,6.5,8.25,3.6,,6.58,,,16.75,13.05,
45005487,4.4,4,,,,5,5.25,7.5,4,,5.92,,,14.25,12.4,
45005490,4.4,5.5,,,,3.5,4.75,6.25,2.6,,4.83,,,13.75,12.5,
45005493,3.2,5,,,,2.75,5.25,5.75,3,,4.58,,,13,11.2,
45005496,5.2,6.75,,,,4,6.75,7.25,4.4,,6,,,17.5,16.35,
45005499,4.8,5.75,,,,4,6.75,7.75,4.6,,6.17,,,16.5,15.15,
45005442,4.8,4.25,,,,5.75,6.25,8.5,2.4,,6.83,,,16.25,11.45,
45005445,4.4,3.25,,,,3.25,6.5,7.25,5.4,,5.67,,,13,13.05,
45005460,4.8,5,,,,3,5.25,5.25,3.4,,4.5,,,13.25,13.2,
45005489,3.2,5,,,,6,6,7,4.2,,6.33,,,17,12.4,
45005500,4.8,6.25,,,,3.5,6,6.75,4,,5.42,,,15.75,15.05,
45005506,5.2,7.5,,,,8.25,5.75,8,6.6,,7.33,,,21.5,19.3,
45005514,3.4,5,2.75,2,4.25,2.5,5.75,6.25,2.8,3,4.83,8.15,9.65,13.25,11.2,8.95
45005518,4.8,5.5,,,,3,5.5,8.25,2.2,,5.58,,,14,12.5,
45003578,1.8,2,,,,1.5,3.25,,,,,,,6.75,,
45003586,2.2,1.25,,,,2.5,2.5,,,,,,,6.25,,
45003594,2.4,4.75,,,,1.75,3,,,,,,,9.5,,
45003599,5,5,,,,3.5,5.5,,,,,,,14,,
45003606,6,6.5,,,,5.75,7,,5.8,,,,,19.25,18.3,
45003612,2.8,5,,,,2.5,5.5,,,,,,,13,,
45003618,3,2.75,,,,3.25,4,,,,,,,10,,
45003624,3.2,3.5,,,,3.5,5.25,,,,,,,12.25,,
45003630,3,3.5,,,,2.75,4.25,,,,,,,10.5,,
45003648,1.6,3.25,2.25,3.25,4.75,,,,,3.42,,7.1,9.6,,,
45003656,2.6,5.25,,,,3.5,7,,,,,,,15.75,,
