SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
60003465,6.2,5.5,5.5,4,4.25,,,,3.4,4.58,,15.7,14.45,,15.1,15.1
60003435,7.4,7.5,7,4.5,6.5,,,,5.8,6,,18.9,18.4,,20.7,20.2
60003483,6.6,6.5,7,6.25,6.25,,,,6.4,6.5,,19.85,19.1,,19.5,20
60003494,6.6,6,5.75,5.75,6.25,,,,5,5.92,,18.1,18.6,,17.6,17.35
60003502,7.8,7.5,7,5.25,6.75,,,,4,6.33,,20.05,19.8,,19.3,18.8
60003504,5.8,6.5,4.25,4.75,3.75,,,,3.6,4.25,,14.8,14.3,,15.9,13.65
60003508,5.4,5,4.5,3.75,5.5,,,,2.8,4.58,,13.65,14.65,,13.2,12.7
60003512,6.6,5.25,5.5,6.75,5.25,,,,5.2,5.83,,18.85,18.6,,17.05,17.3
60003523,6,5.25,5.75,5,5.5,,,,2.8,5.42,,16.75,16.5,,14.05,14.55
60003527,5.6,6.91,4,5,4.5,,,,3.8,4.5,,14.6,15.1,,16.31,13.4
60003485,5,7,2.75,5,4.5,,,,4,4.08,,12.75,14.5,,16,11.75
60003488,6.4,6.5,5.25,4.25,5.25,,,,2.8,4.92,,15.9,15.9,,15.7,14.45
60003492,5.6,7,6.5,4.5,5,,,,4,5.33,,16.6,15.1,,16.6,16.1
60003530,6,7,5,5.25,6,,,,3.8,5.42,,16.25,17.25,,16.8,14.8
60003536,4.8,5.25,,,,4,6,7.75,3,,5.92,,,15.25,13.05,
60003555,5.8,7.25,5,5,5.75,,,,4.8,5.25,,15.8,16.55,,17.85,15.6
60003560,7,6.75,,,,4,7.5,9,4.4,,6.83,,,18.25,18.15,
60003011,6,3.75,4.5,4.75,5.75,,,,3.8,5,,15.25,16.5,,13.55,14.3
60003013,8,5.25,7.5,8.5,5,,,,4,7,,24,21.5,,17.25,19.5
60003029,6.6,6.5,4,6.5,6.5,,,,4,5.67,,17.1,19.6,,17.1,14.6
60003038,4.8,6.25,3.5,3.25,3.75,,,,2.4,3.5,,11.55,11.8,,13.45,10.7
60003044,6.2,5.5,5.25,5.75,4.25,,,,4.2,5.08,,17.2,16.2,,15.9,15.65
60003047,5.6,7.25,4.5,6.75,6.75,,,,4.4,6,,16.85,19.1,,17.25,14.5
60003052,6.6,5.5,4.25,5,4,,,,2.8,4.42,,15.85,15.6,,14.9,13.65
60003059,6,8,5.75,7,6,,,,3.8,6.25,,18.75,19,,17.8,15.55
60003072,7.2,6,7.5,6.25,5.5,,,,5.2,6.42,,20.95,18.95,,18.4,19.9
60003074,5.4,3.75,3.25,1,4.5,,,,2.8,2.92,,9.65,10.9,,11.95,11.45
60003078,6.2,7.75,7,6.25,5.5,,,,4.8,6.25,,19.45,17.95,,18.75,18
60003081,6.4,7.5,4.75,6.25,6,,,,2.4,5.67,,17.4,18.65,,16.3,13.55
60003090,4,6,4,4.25,2.75,,,,3.2,3.67,,12.25,11,,13.2,11.2
60003094,3.6,3.5,5.25,4.5,5.75,,,,2.6,5.17,,13.35,13.85,,9.7,11.45
60002545,4.8,6.25,,,,3.25,5.25,7.25,4.2,,5.25,,,14.75,15.25,
60002552,3.8,6.5,,,,5,8.25,8,4.6,,7.08,,,19.75,14.9,
60002554,5,6.25,,,,2.75,4,6.75,4.2,,4.5,,,13,15.45,
60003564,3.2,5.5,,,,2.5,4.75,7.5,2.6,,4.92,,,12.75,11.3,
60003567,4.2,8.25,,,,3.5,5.75,9.5,3.2,,6.25,,,17.5,15.65,
60003574,6,7.25,4.75,3.75,5.75,,,,2,4.75,,14.5,15.5,,15.25,12.75
60003579,5.2,6.75,,,,5,7,8.25,3.4,,6.75,,,18.75,15.35,
60003586,4.2,5.75,,,,3.5,5.75,7.25,2.4,,5.5,,,15,12.35,
60003595,3.6,7,,,,2.75,4.75,6.75,2.8,,4.75,,,14.5,13.4,
60003598,3.8,6,,,,3.75,4,6.5,3.6,,4.75,,,13.75,13.4,
60003608,3.8,7,,,,4,5,6,3,,5,,,16,13.8,
60003615,7,7.5,5.5,6.5,5.5,,,,6,5.83,,19,19,,20.5,18.5
60003618,5.2,6.25,,,,2,6.25,8.5,3.6,,5.58,,,14.5,15.05,
60003624,5.8,8,,,,3.75,5.75,9.5,3.8,,6.33,,,17.5,17.6,
60003630,3.4,7,,,,3,4.25,7.75,3.4,,5,,,14.25,13.8,
60003636,5.4,6.75,4,5,6.5,,,,4.6,5.17,,14.4,16.9,,16.75,14
60003643,4.6,6.75,,,,3,5.25,7.25,3.8,,5.17,,,15,15.15,
60003648,4,6.25,,,,4.75,5.5,7,3,,5.75,,,16.5,13.25,
60003656,6.2,8.25,,,,7,7.25,8.5,3.2,,7.58,,,22.5,17.65,
60003658,6.4,6.5,6.25,4.5,5.75,,,,4.4,5.5,,17.15,16.65,,17.3,17.05
60003109,5.6,6.25,4.75,4.5,4.5,,,,4.8,4.58,,14.85,14.6,,16.65,15.15
60003122,4.6,7,4.25,3.75,4.5,,,,3.6,4.17,,12.6,12.85,,15.2,12.45
60003125,5.6,6.75,4.25,5.25,7,,,,6.8,5.5,,15.1,17.85,,19.15,16.65
60003128,6,6.75,5.75,6.5,4.75,,,,4.2,5.67,,18.25,17.25,,16.95,15.95
60003134,5.4,8,4.75,3.75,7,,,,2.6,5.17,,13.9,16.15,,16,12.75
60003135,8.4,6,8,7.25,4.5,,,,3.4,6.58,,23.65,20.15,,17.8,19.8
60003144,5.6,5.25,6.75,6,3.75,,,,3.2,5.5,,18.35,15.35,,14.05,15.55
60003148,5.4,6,5.5,5.5,5.25,,,,2.6,5.42,,16.4,16.15,,14,13.5
60003150,3.2,5,,,,5.5,5.5,7.25,3.4,,6.08,,,16,11.6,
60003153,5.4,7,6,4.75,4.75,,,,4.4,5.17,,16.15,14.9,,16.8,15.8
60003159,6.2,7.5,6,6,7.5,,,,5.4,6.5,,18.2,19.7,,19.1,17.6
60003171,4.4,5.75,,,,3.5,5,8.25,3.2,,5.58,,,14.25,13.35,
60003174,4,6.25,,,,3.75,5.75,8,4.4,,5.83,,,15.75,14.65,
60003179,5.6,7,5.5,7,5.75,,,,4,6.08,,18.1,18.35,,16.6,15.1
60003182,6.2,6.5,,,,4.25,8.25,9.25,3.6,,7.25,,,19,16.3,
60003187,5.8,7.5,4.75,4.75,4.75,,,,4.8,4.75,,15.3,15.3,,18.1,15.35
60003190,4.4,7.75,,,,3.75,6.5,9,2.8,,6.42,,,18,14.95,
60002570,6.2,6.75,,,,4.5,4.5,8.25,4,,5.75,,,15.75,16.95,
60002587,2.4,5,,,,1.75,4.25,7,2.8,,4.33,,,11,10.2,
60002589,2.8,5.5,,,,5,6.5,8,2,,6.5,,,17,10.3,
60002591,5.6,7.25,,,,6.5,8.5,8.25,4.4,,7.75,,,22.25,17.25,
60002568,4,4,,,,3.25,4.25,7,2.6,,4.83,,,11.5,10.6,
60002572,3.8,6.25,,,,2.75,5,6.75,2.2,,4.83,,,14,12.25,
60002574,5.6,7,,,,3.75,5.25,7.25,4.2,,5.42,,,16,16.8,
60002576,4,7.5,,,,3,6,7.75,2.4,,5.58,,,16.5,13.9,
60002578,4.2,5.5,,,,3.5,5.75,8.75,3.2,,6,,,14.75,12.9,
60002580,5.2,6,,,,2.5,6.25,6.75,3,,5.17,,,14.75,14.2,
60002582,5,7.5,,,,4.5,5.75,7,3.6,,5.75,,,17.75,16.1,
60002584,6.2,7.25,,,,6,6.25,8.75,7,,7,,,19.5,20.45,
60002594,5,6,,,,3.75,6.25,6.75,3.2,,5.58,,,16,14.2,
60002603,4.6,7,,,,5.25,6.5,7.5,3,,6.42,,,18.75,14.6,
60002610,6.2,7.5,,,,4.75,7.25,8.25,3.6,,6.75,,,19.5,17.3,
60002833,6.8,6.25,7.25,6.25,7.25,,,,3.2,6.92,,20.3,20.3,,16.25,17.25
60002843,5.8,5.75,6.5,4.75,4.5,,,,3,5.25,,17.05,15.05,,14.55,15.3
60003660,4.2,6.25,,,,4,4.5,7,2.6,,5.17,,,14.75,13.05,
60003665,3.4,8,,,,6.25,6.5,8,5.2,,6.92,,,20.75,16.6,
60003667,5.4,8,,,,3.75,7.5,9.25,6.2,,6.83,,,19.25,19.6,
60003676,4.8,8,,,,6.25,8.25,9.5,3.8,,8,,,22.5,16.6,
60003678,4.4,7,,,,4.75,7,8.75,3.2,,6.83,,,18.75,14.6,
60003682,4.6,7.25,,,,4.25,5,8,3.4,,5.75,,,16.5,15.25,
60003687,7,8,4,7,7.25,,,,3.8,6.08,,18,21.25,,18.8,14.8
60003689,5,6.5,,,,3.5,5,9.25,3.6,,5.92,,,15,15.1,
60003694,3.6,6.25,,,,3.25,7.5,7.25,3.6,,6,,,17,13.45,
60003696,5.2,6.75,5.25,6.5,6.25,,,,5.4,6,,16.95,17.95,,17.35,15.85
60003701,4,6.5,,,,4,6.25,6.75,3.4,,5.67,,,16.75,13.9,
60003712,4.2,7,,,,4,7.75,6.75,3.6,,6.17,,,18.75,14.8,
60003715,4.6,7.75,,,,6,5.75,8.75,2.6,,6.83,,,19.5,14.95,
60003718,4.4,8,3,4.25,4,,,,3.6,3.75,,11.65,12.65,,16,11
60003733,4.6,5,,,,4,6,8.5,3,,6.17,,,15,12.6,
60003736,5.4,7,,,,4.75,5.75,8.25,4.4,,6.25,,,17.5,16.8,
60003739,6,7.25,,,,4,8,8.5,4.8,,6.83,,,19.25,18.05,
60002762,6.2,7,5.25,4.25,4,,,,3,4.5,,15.7,14.45,,16.2,14.45
60002767,6.6,5.75,6.75,5.75,5.5,,,,5.6,6,,19.1,17.85,,17.95,18.95
60002770,5.8,6.25,3.5,4.25,5,,,,5.8,4.25,,13.55,15.05,,17.85,15.1
60002774,4.8,3.5,5,4,6.25,,,,3.8,5.08,,13.8,15.05,,12.1,13.6
60002778,5.2,6.25,3.75,4,4.75,,,,3.8,4.17,,12.95,13.95,,15.25,12.75
