SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
10003496,2.8,6.5,,,,3.75,5.75,7,3.6,,5.5,,,16,12.9,
10003500,4.6,7,,,,4,5.5,6.5,3.2,,5.33,,,16.5,14.8,
10003506,3.6,2,,,,3.75,5.75,7.25,2.8,,5.58,,,11.5,8.4,
10003510,4,6,,,,4,3.75,6.25,2.6,,4.67,,,13.75,12.6,
10003514,3.6,5,,,,2.75,3.25,4.75,3.2,,3.58,,,11,11.8,
10003518,4.6,5,,,,2.75,5.25,8.25,2.6,,5.42,,,13,12.2,
10003521,2.8,1.75,,,,2.5,5,6.25,2.6,,4.58,,,9.25,7.15,
10003524,5.2,7.25,,,,3.5,6,6,3.6,,5.17,,,16.75,16.05,
10003527,4,6,4.5,4.25,6.25,,,,3.4,5,,12.75,14.5,,13.4,11.9
10003531,2.4,3,,,,3.25,6.5,8.25,2.6,,6,,,12.75,8,
10003537,3.6,6.25,,,,4.25,7,8,3.6,,6.42,,,17.5,13.45,
10003543,4.2,2,,,,5.75,6,8.25,2.6,,6.67,,,13.75,8.8,
10003544,5.2,5.25,5.25,5,4,,,,3.4,4.75,,15.45,14.2,,13.85,13.85
10003545,2.8,5.5,,,,2.25,5.5,4,2,,3.92,,,13.25,10.3,
10003552,3,5.75,,,,2.75,5.25,6,3.2,,4.67,,,13.75,11.95,
10003556,4.8,7,3.5,4.25,4.75,,,,4,4.17,,12.55,13.8,,15.8,12.3
10003603,3.4,7,,,,5.25,7.25,9,3.2,,7.17,,,19.5,13.6,
10003613,4.2,7.25,3,5,5.75,,,,2.2,4.58,,12.2,14.95,,13.65,9.4
10003620,3.8,5.75,,,,3.25,5.75,7.75,2.4,,5.58,,,14.75,11.95,
10003628,5.8,6.75,,,,5.5,7.75,7.75,4.6,,7,,,20,17.15,
10003636,3.6,6.25,,,,3,5.25,7.25,3.8,,5.17,,,14.5,13.65,
10003644,3,3.25,,,,2.75,3.75,4.75,1.2,,3.75,,,9.75,7.45,
10003656,4.4,7.5,,,,4.25,5.5,7.5,4,,5.75,,,17.25,15.9,
10003664,4.2,5.25,,,,4.25,6.5,8.75,3.4,,6.5,,,16,12.85,
10003671,5,7.5,,,,4,6.25,8.5,4.6,,6.25,,,17.75,17.1,
10003394,3.4,5,,,,3.25,6,6.75,3.8,,5.33,,,14.25,12.2,
10003425,2.8,3,,,,2.5,4.5,6,2.2,,4.33,,,10,8,
10003430,4,6.25,,,,3.25,7,7.75,2.2,,6,,,16.5,12.45,
10001962,4.2,3.5,,,,4,4.25,6.25,2.2,,4.83,,,11.75,9.9,
10001981,3.6,6,,,,3.75,4.5,5,2,,4.42,,,14.25,11.6,
10001984,3,5.25,,,,3.25,4.75,4.75,3,,4.25,,,13.25,11.25,
10002002,3.2,2.25,,,,2.75,3.5,3.75,2.8,,3.33,,,8.5,8.25,
